"Source","Type","Name","EditionKey","LicenseKey"
"vCenter","vCenter","vSAN Enterprise","vsan.enterprise.cpuPackageCoreLimited","N009M-6D15L-18CN9-0UX20-01JK5"
"vCenter","vCenter","NSX for vShield Endpoint","nsx.vshield.cpuPackage","4J6VQ-DTHEQ-58TX9-00AU6-3T952"
"vCenter","vCenter","Tanzu Evaluation","tanzu.eval","00000-00000-00000-00000-00000"
"vCenter","vCenter","vSphere 8 Enterprise Plus for VCF","vc.vcf","TN01M-0C60K-J82R1-0TW84-9NL01"
"epa-cl01","ESXi Host","fu-04.***.***","esx.vcf.cpuCoreMin","TN01M-0C60K-J82R1-0TW84-9NL01"
"epa-cl01","ESXi Host","fu-05.***.***","esx.vcf.cpuCoreMin","TN01M-0C60K-J82R1-0TW84-9NL01"
"epa-cl01","ESXi Host","fu-03.***.***","esx.vcf.cpuCoreMin","TN01M-0C60K-J82R1-0TW84-9NL01"
"epa-cl01","ESXi Host","fu-01.***.***","esx.vcf.cpuCoreMin","TN01M-0C60K-J82R1-0TW84-9NL01"
"epa-cl01","ESXi Host","fu-02.***.***","esx.vcf.cpuCoreMin","TN01M-0C60K-J82R1-0TW84-9NL01"
"epa-cl01","ESXi Host","fu-06.***.***","esx.vcf.cpuCoreMin","TN01M-0C60K-J82R1-0TW84-9NL01"
