"Cluster","HostName","Category","Detected","HCL_Match","Match_Score(%)","ESXi_9.0","ESXi_9.1","Note"
"HCS-WD-cl01","wd-esx01","NIC","vmnic0 / Broadcom Corporation NetXtreme BCM5720 Gigabit Ethernet","Broadcom NetXtreme BCM5720 Gigabit Ethernet","100","OK","OK","Releases: ESXi 9.0"
"HCS-WD-cl01","wd-esx01","NIC","vmnic1 / Broadcom Corporation NetXtreme BCM5720 Gigabit Ethernet","Broadcom NetXtreme BCM5720 Gigabit Ethernet","100","OK","OK","Releases: ESXi 9.0"
"HCS-WD-cl01","wd-esx01","NIC","vmnic2 / Broadcom NetXtreme E-Series Advanced Dual-port 25Gb SFP28 Ethernet OCP 3.0 Adapter","Broadcom NetXtreme E-Series Quad-port 25Gb SFP28 OCP 3.0 Ethernet Adapter","93","OK","OK","Releases: ESXi 9.0"
"HCS-WD-cl01","wd-esx01","NIC","vmnic3 / Broadcom NetXtreme E-Series Advanced Dual-port 25Gb SFP28 Ethernet OCP 3.0 Adapter","Broadcom NetXtreme E-Series Quad-port 25Gb SFP28 OCP 3.0 Ethernet Adapter","93","OK","OK","Releases: ESXi 9.0"
"HCS-WD-cl01","wd-esx01","NIC","vmnic4 / Broadcom BCM57414 NetXtreme-E 10Gb/25Gb RDMA Ethernet Controller","Broadcom BCM57414 NetXtreme-E 10Gb/25Gb RDMA Ethernet Controller","100","OK","OK","Releases: ESXi 9.0"
"HCS-WD-cl01","wd-esx01","NIC","vmnic5 / Broadcom BCM57414 NetXtreme-E 10Gb/25Gb RDMA Ethernet Controller","Broadcom BCM57414 NetXtreme-E 10Gb/25Gb RDMA Ethernet Controller","100","OK","OK","Releases: ESXi 9.0"
"HCS-WD-cl01","wd-esx01","NIC","vmnic6 / Broadcom BCM57414 NetXtreme-E 10Gb/25Gb RDMA Ethernet Controller","Broadcom BCM57414 NetXtreme-E 10Gb/25Gb RDMA Ethernet Controller","100","OK","OK","Releases: ESXi 9.0"
"HCS-WD-cl01","wd-esx01","NIC","vmnic7 / Broadcom BCM57414 NetXtreme-E 10Gb/25Gb RDMA Ethernet Controller","Broadcom BCM57414 NetXtreme-E 10Gb/25Gb RDMA Ethernet Controller","100","OK","OK","Releases: ESXi 9.0"
"HCS-WD-cl01","wd-esx04","NIC","vmnic0 / Broadcom Corporation NetXtreme BCM5720 Gigabit Ethernet","Broadcom NetXtreme BCM5720 Gigabit Ethernet","100","OK","OK","Releases: ESXi 9.0"
"HCS-WD-cl01","wd-esx04","NIC","vmnic1 / Broadcom Corporation NetXtreme BCM5720 Gigabit Ethernet","Broadcom NetXtreme BCM5720 Gigabit Ethernet","100","OK","OK","Releases: ESXi 9.0"
"HCS-WD-cl01","wd-esx04","NIC","vmnic2 / Broadcom NetXtreme E-Series Advanced Dual-port 25Gb SFP28 Ethernet OCP 3.0 Adapter","Broadcom NetXtreme E-Series Quad-port 25Gb SFP28 OCP 3.0 Ethernet Adapter","93","OK","OK","Releases: ESXi 9.0"
"HCS-WD-cl01","wd-esx04","NIC","vmnic3 / Broadcom NetXtreme E-Series Advanced Dual-port 25Gb SFP28 Ethernet OCP 3.0 Adapter","Broadcom NetXtreme E-Series Quad-port 25Gb SFP28 OCP 3.0 Ethernet Adapter","93","OK","OK","Releases: ESXi 9.0"
"HCS-WD-cl01","wd-esx04","NIC","vmnic4 / Broadcom BCM57414 NetXtreme-E 10Gb/25Gb RDMA Ethernet Controller","Broadcom BCM57414 NetXtreme-E 10Gb/25Gb RDMA Ethernet Controller","100","OK","OK","Releases: ESXi 9.0"
"HCS-WD-cl01","wd-esx04","NIC","vmnic5 / Broadcom BCM57414 NetXtreme-E 10Gb/25Gb RDMA Ethernet Controller","Broadcom BCM57414 NetXtreme-E 10Gb/25Gb RDMA Ethernet Controller","100","OK","OK","Releases: ESXi 9.0"
"HCS-WD-cl01","wd-esx04","NIC","vmnic6 / Broadcom BCM57414 NetXtreme-E 10Gb/25Gb RDMA Ethernet Controller","Broadcom BCM57414 NetXtreme-E 10Gb/25Gb RDMA Ethernet Controller","100","OK","OK","Releases: ESXi 9.0"
"HCS-WD-cl01","wd-esx04","NIC","vmnic7 / Broadcom BCM57414 NetXtreme-E 10Gb/25Gb RDMA Ethernet Controller","Broadcom BCM57414 NetXtreme-E 10Gb/25Gb RDMA Ethernet Controller","100","OK","OK","Releases: ESXi 9.0"
"HCS-WD-cl01","wd-esx03","NIC","vmnic0 / Broadcom Corporation NetXtreme BCM5720 Gigabit Ethernet","Broadcom NetXtreme BCM5720 Gigabit Ethernet","100","OK","OK","Releases: ESXi 9.0"
