"Cluster","HostName","Category","Detected","HCL_Match","Match_Score(%)","ESXi_9.0","ESXi_9.1","Note"
"HCS-WD-cl01","wd-esx01","Storage_Controller","vmhba0 / PERC H755 Front","Dell PERC H755 Front PERC","89","OK","OK","ESXi Releases: ESXi 9.0"
"HCS-WD-cl01","wd-esx01","Storage_Controller","vmhba1 / Lewisburg SATA AHCI Controller","Intel Corporation Lewisburg SATA AHCI Controller","50","OK","OK","ESXi Releases: ESXi 9.0"
"HCS-WD-cl01","wd-esx01","Storage_Controller","vmhba2 / Lewisburg SATA AHCI Controller","Intel Corporation Lewisburg SATA AHCI Controller","50","OK","OK","ESXi Releases: ESXi 9.0"
"HCS-WD-cl01","wd-esx04","Storage_Controller","vmhba0 / PERC H755 Front","Dell PERC H755 Front PERC","89","OK","OK","ESXi Releases: ESXi 9.0"
"HCS-WD-cl01","wd-esx04","Storage_Controller","vmhba1 / Lewisburg SATA AHCI Controller","Intel Corporation Lewisburg SATA AHCI Controller","50","OK","OK","ESXi Releases: ESXi 9.0"
"HCS-WD-cl01","wd-esx04","Storage_Controller","vmhba2 / Lewisburg SATA AHCI Controller","Intel Corporation Lewisburg SATA AHCI Controller","50","OK","OK","ESXi Releases: ESXi 9.0"
"HCS-WD-cl01","wd-esx03","Storage_Controller","vmhba0 / PERC H755 Front","Dell PERC H755 Front PERC","89","OK","OK","ESXi Releases: ESXi 9.0"
"HCS-WD-cl01","wd-esx03","Storage_Controller","vmhba1 / Lewisburg SATA AHCI Controller","Intel Corporation Lewisburg SATA AHCI Controller","50","OK","OK","ESXi Releases: ESXi 9.0"
"HCS-WD-cl01","wd-esx03","Storage_Controller","vmhba2 / Lewisburg SATA AHCI Controller","Intel Corporation Lewisburg SATA AHCI Controller","50","OK","OK","ESXi Releases: ESXi 9.0"
"HCS-WD-cl01","wd-esx02","Storage_Controller","vmhba0 / PERC H755 Front","Dell PERC H755 Front PERC","89","OK","OK","ESXi Releases: ESXi 9.0"
"HCS-WD-cl01","wd-esx02","Storage_Controller","vmhba1 / Lewisburg SATA AHCI Controller","Intel Corporation Lewisburg SATA AHCI Controller","50","OK","OK","ESXi Releases: ESXi 9.0"
"HCS-WD-cl01","wd-esx02","Storage_Controller","vmhba2 / Lewisburg SATA AHCI Controller","Intel Corporation Lewisburg SATA AHCI Controller","50","OK","OK","ESXi Releases: ESXi 9.0"
"epa-cl01","fu-04","Storage_Controller","vmhba0 / Lewisburg SATA AHCI Controller","Intel Corporation Lewisburg SATA AHCI Controller","50","OK","OK","ESXi Releases: ESXi 9.0"
"epa-cl01","fu-04","Storage_Controller","vmhba1 / Lewisburg SATA AHCI Controller","Intel Corporation Lewisburg SATA AHCI Controller","50","OK","OK","ESXi Releases: ESXi 9.0"
"epa-cl01","fu-04","Storage_Controller","vmhba2 / Fusion-MPT 12GSAS SAS3008 PCI-Express","LSI LSI Logic Fusion-MPT 12GSAS SAS3008 PCI-Express","80","OK","OK","ESXi Releases: ESXi 9.0"
"epa-cl01","fu-04","Storage_Controller","vmhba3 / MegaRAID SAS Fury Controller","LSI MegaRAID SAS Fury Controller","67","OK","OK","ESXi Releases: ESXi 9.0"
"epa-cl01","fu-05","Storage_Controller","vmhba0 / Lewisburg SATA AHCI Controller","Intel Corporation Lewisburg SATA AHCI Controller","50","OK","OK","ESXi Releases: ESXi 9.0"
"epa-cl01","fu-05","Storage_Controller","vmhba1 / Lewisburg SATA AHCI Controller","Intel Corporation Lewisburg SATA AHCI Controller","50","OK","OK","ESXi Releases: ESXi 9.0"
"epa-cl01","fu-05","Storage_Controller","vmhba2 / Fusion-MPT 12GSAS SAS3008 PCI-Express","LSI LSI Logic Fusion-MPT 12GSAS SAS3008 PCI-Express","80","OK","OK","ESXi Releases: ESXi 9.0"
"epa-cl01","fu-05","Storage_Controller","vmhba3 / MegaRAID SAS Fury Controller","LSI MegaRAID SAS Fury Controller","67","OK","OK","ESXi Releases: ESXi 9.0"
"epa-cl01","fu-03","Storage_Controller","vmhba0 / Lewisburg SATA AHCI Controller","Intel Corporation Lewisburg SATA AHCI Controller","50","OK","OK","ESXi Releases: ESXi 9.0"
"epa-cl01","fu-03","Storage_Controller","vmhba1 / Lewisburg SATA AHCI Controller","Intel Corporation Lewisburg SATA AHCI Controller","50","OK","OK","ESXi Releases: ESXi 9.0"
"epa-cl01","fu-03","Storage_Controller","vmhba2 / Fusion-MPT 12GSAS SAS3008 PCI-Express","LSI LSI Logic Fusion-MPT 12GSAS SAS3008 PCI-Express","80","OK","OK","ESXi Releases: ESXi 9.0"
