"Type","Object","Status","Message","SCG ID","Priority","SCG Title","Baseline","DISA STIG","PCI DSS 4.0","Remediation"
"vCenter","epavcsa.epa.com","INFO","VMware vCenter Security Settings Audit Utility 8.0.3",,,,,,,
"vCenter","epavcsa.epa.com","INFO","Audit of epavcsa.epa.com started at 2026-09-07 09:02:55 from HCSVDI-28 by broadcom",,,,,,,
"vCenter","epavcsa.epa.com","INFO","EULA accepted.",,,,,,,
"vCenter","epavcsa.epa.com","INFO","Safety checks skipped.",,,,,,,
"vCenter","epavcsa.epa.com","PASS","VirtualCenter.VimPasswordExpirationInDays configured correctly (30)","vcenter-8.vpxuser-rotation","P2","The vCenter Server must configure the vpxuser password to be rotated on an appropriate interval.","30","VCSA-80-000275","N/A","Get-AdvancedSetting -Entity $VC -Name VirtualCenter.VimPasswordExpirationInDays | Set-AdvancedSetting -Value 30"
"vCenter","epavcsa.epa.com","PASS","vpxd.event.syslog.enabled configured correctly (True)","vcenter-8.events-remote-logging","P2","Enable remote logging of vCenter Server events.","true","VCSA-80-000280","10.2.1
10.3.3","Get-AdvancedSetting -Entity $VC -Name vpxd.event.syslog.enabled | Set-AdvancedSetting -Value true"
"vCenter","epavcsa.epa.com","PASS","config.log.level configured correctly (info)","vcenter-8.logs-level-global","P2","The vCenter Server must produce audit records containing information to establish what type of events occurred.","info","VCSA-80-000034","10.2.1
10.3.3","Get-AdvancedSetting -Entity $VC -Name config.log.level | Set-AdvancedSetting -Value info"
"vCenter","epavcsa.epa.com","FAIL","etc.issue contains the default message ( VMware vCenter Server 8.0.3.00900  Type: vCenter Server with an embedded Platform Services Controller  )",,,,,,,
"vCenter","epavcsa.epa.com","FAIL","SSO AutoUnlockIntervalSec not configured correctly ()","vcenter-8.administration-sso-lockout-policy-unlock-time","P0","The vCenter Server must unlock accounts after a specified timeout period.","0","VCSA-80-000266","8.3.4","Get-SsoLockoutPolicy | Set-SsoLockoutPolicy -AutoUnlockIntervalSec 0"
"vCenter","epavcsa.epa.com","PASS","SSO MaxFailedAttempts configured correctly ()","vcenter-8.administration-sso-lockout-policy-max-attempts","P2","The vCenter Server must lock an account after a specified number of failed login attempts.","5","VCSA-80-000023","8.3.4","Get-SsoLockoutPolicy | Set-SsoLockoutPolicy -MaxFailedAttempts 5"
"vCenter","epavcsa.epa.com","FAIL","SSO FailedAttemptIntervalSec not configured correctly ()","vcenter-8.administration-sso-lockout-policy-max-attempts","P2","The vCenter Server must lock an account after a specified number of failed login attempts.","5","VCSA-80-000023","8.3.4","Get-SsoLockoutPolicy | Set-SsoLockoutPolicy -MaxFailedAttempts 5"
"vCenter","epavcsa.epa.com","PASS","SSO MaxIdenticalAdjacentCharacters configured correctly (3)","vcenter-8.administration-sso-password-policy","P1","The vCenter Server must enforce password complexity.","Maximum Length: 64
Minimum Length: 15
At least 1 special 
At least 2 alphabetic
At least 1 uppercase
At least 1 lowercase
At least 1 numeric
3 identical adjacent","VCSA-80-000069
VCSA-80-000071
VCSA-80-000072
VCSA-80-000073
VCSA-80-000074","8.3.1
8.3.6","Get-SsoPasswordPolicy | Set-SsoPasswordPolicy -MinLength 15 -MaxLength 64 -MinNumericCount 1 -MinSpecialCharCount 1 -MinAlphabeticCount 2 -MinUppercaseCount 1 -MinLowercaseCount 1 -MaxIdenticalAdjacentCharacters 3"
