"Type","Object","Pass","Fail","Info","Total","PassRate"
"vCenter","epavcsa.epa.com","200","43","5","248","82.3%"
"ESXi","fu-01.epa.com","74","25","5","104","74.7%"
"ESXi","fu-02.epa.com","74","25","5","104","74.7%"
"ESXi","fu-03.epa.com","77","22","5","104","77.8%"
"ESXi","fu-04.epa.com","74","25","5","104","74.7%"
"ESXi","fu-05.epa.com","74","25","5","104","74.7%"
"ESXi","fu-06.epa.com","74","25","5","104","74.7%"
"VM","avi-lb-insung","17","5","4","26","77.3%"
"VM","Avi-se-jeaxv","17","6","4","27","73.9%"
"VM","edge01","18","4","4","26","81.8%"
"VM","edge02","18","4","4","26","81.8%"
"VM","epa-dns","18","6","4","28","75%"
"VM","epa-harbor","0","5","3","8","0%"
"VM","epa-nsx-01","17","5","4","26","77.3%"
"VM","epa-nsx-02","17","5","4","26","77.3%"
"VM","epa-nsx-03","17","5","4","26","77.3%"
"VM","inha-esx01-10.200.91.x","17","6","4","27","73.9%"
"VM","inha-esx02","17","6","4","27","73.9%"
"VM","inha-esx03","17","6","4","27","73.9%"
"VM","inha-vc-10.200.91.x","0","5","3","8","0%"
"VM","insung-linuxhost","17","7","4","28","70.8%"
"VM","k1mes-vc01-10.200.92.x","0","5","3","8","0%"
"VM","k2mes-vc01","0","5","3","8","0%"
"VM","k3mes-vc01","0","5","3","8","0%"
"VM","kdw-jumpbox","17","7","4","28","70.8%"
"VM","krxcs01","18","7","4","29","72%"
"VM","ksb-nfs-storage","18","6","4","28","75%"
"VM","kyk-centos7","15","9","4","28","62.5%"
"VM","kyk-dns","16","8","4","28","66.7%"
"VM","kyk-pve01","17","7","4","28","70.8%"
"VM","kyk-pve02","17","7","4","28","70.8%"
"VM","kyk-pve03","17","7","4","28","70.8%"
"VM","kyk-rocky9","16","8","4","28","66.7%"
"VM","kyk-truenas","15","9","4","28","62.5%"
"VM","kyk-window11","18","7","4","29","72%"
"VM","md-esxi01","17","6","4","27","73.9%"
"VM","md-esxi02","17","6","4","27","73.9%"
"VM","md-esxi03","17","6","4","27","73.9%"
"VM","md-esxi04","17","6","4","27","73.9%"
"VM","NC-ESXi01","17","6","4","27","73.9%"
"VM","NC-ESXi02","17","6","4","27","73.9%"
"VM","NC-ESXi03","17","6","4","27","73.9%"
"VM","NC-ESXi04","17","6","4","27","73.9%"
"VM","Nice-AD","18","7","4","29","72%"
"VM","Nice-Builder","16","8","4","28","66.7%"
"VM","Nice-Depot","18","6","4","28","75%"
"VM","psh-esxi01","17","6","4","27","73.9%"
"VM","psh-esxi02","17","6","4","27","73.9%"
"VM","psh-esxi03","17","6","4","27","73.9%"
"VM","SSK_JumpHost","17","7","4","28","70.8%"
"VM","ssk-ako-test","17","7","4","28","70.8%"
"VM","ssk-avi-controller","17","5","4","26","77.3%"
"VM","VCSA","0","5","3","8","0%"
