"VmName","HostName","ClusterName","NumCpu","CpuTopology","MemoryGB","DiskLabel","DiskCapacityGB","DiskFormat","Datastore"
"insung-linuxhost","fu-01.***.***","epa-cl01","2","1 socket(s) x 2 core(s)","6","Hard disk 1","100","Thin","vsanDatastore"
"psh-esxi03","fu-06.***.***","epa-cl01","8","1 socket(s) x 8 core(s)","32","Hard disk 1","40","Thin","vsanDatastore"
"psh-esxi03","fu-06.***.***","epa-cl01","8","1 socket(s) x 8 core(s)","32","Hard disk 2","200","Thin","vsanDatastore"
"psh-esxi02","fu-04.***.***","epa-cl01","8","1 socket(s) x 8 core(s)","32","Hard disk 1","40","Thin","vsanDatastore"
"psh-esxi02","fu-04.***.***","epa-cl01","8","1 socket(s) x 8 core(s)","32","Hard disk 2","200","Thin","vsanDatastore"
"psh-esxi01","fu-05.***.***","epa-cl01","8","1 socket(s) x 8 core(s)","32","Hard disk 1","40","Thin","vsanDatastore"
"psh-esxi01","fu-05.***.***","epa-cl01","8","1 socket(s) x 8 core(s)","32","Hard disk 2","200","Thin","vsanDatastore"
"kdw-jumpbox","fu-06.***.***","epa-cl01","4","1 socket(s) x 4 core(s)","8","Hard disk 1","25","Thin","vsanDatastore"
"kdw-jumpbox","fu-06.***.***","epa-cl01","4","1 socket(s) x 4 core(s)","8","Hard disk 2","150","Thin","vsanDatastore"
"Avi-se-jeaxv","fu-04.***.***","epa-cl01","1","1 socket(s) x 1 core(s)","2","Hard disk 1","15","Thin","HCS-TrueNAS-iSCSI"
"ssk-ako-test","fu-01.***.***","epa-cl01","4","1 socket(s) x 4 core(s)","8","Hard disk 1","500","Thin","vsanDatastore"
"ssk-avi-controller","fu-06.***.***","epa-cl01","6","1 socket(s) x 6 core(s)","32","Hard disk 1","128","Thin","vsanDatastore"
"SSK_JumpHost","fu-06.***.***","epa-cl01","4","1 socket(s) x 4 core(s)","8","Hard disk 1","500","Thin","vsanDatastore"
"inha-esx01-10.200.91.x","fu-05.***.***","epa-cl01","8","1 socket(s) x 8 core(s)","64","Hard disk 1","150","Thin","vsanDatastore"
