"Cluster","HostName","Category","Detected","HCL_Match","Match_Score(%)","ESXi_9.0","ESXi_9.1","Note"
"HCS-WD-cl01","wd-esx01","CPU","intel / Intel(R) Xeon(R) Gold 6338 CPU @ 2.00GHz","Intel Xeon Gold 6300 5300 (Ice-Lake-SP) Series / 6338","100","OK","OK","Direct model name match : 'Intel(R) Xeon(R) Gold 6338 CPU @ 2.00GHz' -> '6338' in 'Intel Xeon Gold 6300 5300 (Ice-Lake-SP) Series'"
"HCS-WD-cl01","wd-esx04","CPU","intel / Intel(R) Xeon(R) Gold 6338 CPU @ 2.00GHz","Intel Xeon Gold 6300 5300 (Ice-Lake-SP) Series / 6338","100","OK","OK","Direct model name match : 'Intel(R) Xeon(R) Gold 6338 CPU @ 2.00GHz' -> '6338' in 'Intel Xeon Gold 6300 5300 (Ice-Lake-SP) Series'"
"HCS-WD-cl01","wd-esx03","CPU","intel / Intel(R) Xeon(R) Gold 6338 CPU @ 2.00GHz","Intel Xeon Gold 6300 5300 (Ice-Lake-SP) Series / 6338","100","OK","OK","Direct model name match : 'Intel(R) Xeon(R) Gold 6338 CPU @ 2.00GHz' -> '6338' in 'Intel Xeon Gold 6300 5300 (Ice-Lake-SP) Series'"
"HCS-WD-cl01","wd-esx02","CPU","intel / Intel(R) Xeon(R) Gold 6338 CPU @ 2.00GHz","Intel Xeon Gold 6300 5300 (Ice-Lake-SP) Series / 6338","100","OK","OK","Direct model name match : 'Intel(R) Xeon(R) Gold 6338 CPU @ 2.00GHz' -> '6338' in 'Intel Xeon Gold 6300 5300 (Ice-Lake-SP) Series'"
"epa-cl01","fu-04","CPU","intel / Intel(R) Xeon(R) Silver 4214R CPU @ 2.40GHz","Intel Xeon Silver 4200 Bronze 3200 (Cascade-Lake-SP Refresh) Series / 4214R","100","OK","OK","Direct model name match : 'Intel(R) Xeon(R) Silver 4214R CPU @ 2.40GHz' -> '4214R' in 'Intel Xeon Silver 4200 Bronze 3200 (Cascade-Lake-SP Refresh) Series'"
"epa-cl01","fu-05","CPU","intel / Intel(R) Xeon(R) Silver 4214R CPU @ 2.40GHz","Intel Xeon Silver 4200 Bronze 3200 (Cascade-Lake-SP Refresh) Series / 4214R","100","OK","OK","Direct model name match : 'Intel(R) Xeon(R) Silver 4214R CPU @ 2.40GHz' -> '4214R' in 'Intel Xeon Silver 4200 Bronze 3200 (Cascade-Lake-SP Refresh) Series'"
"epa-cl01","fu-03","CPU","intel / Intel(R) Xeon(R) Silver 4214R CPU @ 2.40GHz","Intel Xeon Silver 4200 Bronze 3200 (Cascade-Lake-SP Refresh) Series / 4214R","100","OK","OK","Direct model name match : 'Intel(R) Xeon(R) Silver 4214R CPU @ 2.40GHz' -> '4214R' in 'Intel Xeon Silver 4200 Bronze 3200 (Cascade-Lake-SP Refresh) Series'"
"epa-cl01","fu-01","CPU","intel / Intel(R) Xeon(R) Silver 4214R CPU @ 2.40GHz","Intel Xeon Silver 4200 Bronze 3200 (Cascade-Lake-SP Refresh) Series / 4214R","100","OK","OK","Direct model name match : 'Intel(R) Xeon(R) Silver 4214R CPU @ 2.40GHz' -> '4214R' in 'Intel Xeon Silver 4200 Bronze 3200 (Cascade-Lake-SP Refresh) Series'"
"epa-cl01","fu-02","CPU","intel / Intel(R) Xeon(R) Silver 4214R CPU @ 2.40GHz","Intel Xeon Silver 4200 Bronze 3200 (Cascade-Lake-SP Refresh) Series / 4214R","100","OK","OK","Direct model name match : 'Intel(R) Xeon(R) Silver 4214R CPU @ 2.40GHz' -> '4214R' in 'Intel Xeon Silver 4200 Bronze 3200 (Cascade-Lake-SP Refresh) Series'"
"epa-cl01","fu-06","CPU","intel / Intel(R) Xeon(R) Silver 4214R CPU @ 2.40GHz","Intel Xeon Silver 4200 Bronze 3200 (Cascade-Lake-SP Refresh) Series / 4214R","100","OK","OK","Direct model name match : 'Intel(R) Xeon(R) Silver 4214R CPU @ 2.40GHz' -> '4214R' in 'Intel Xeon Silver 4200 Bronze 3200 (Cascade-Lake-SP Refresh) Series'"
