"Cluster","HostName","Category","Detected","CPU_Sockets","CoresPerSocket_Actual","CoresPerSocket_Eff","Total_Cores_Eff","Core_Note","HCL_Match","Match_Score(%)","ESXi_9.0","ESXi_9.1","Note"
"HCS-WD-cl01","wd-esx01","Server","Dell Inc. PowerEdge R750","2","32","32","64","","Dell PowerEdge R750","100","OK","OK","VCF Supported:   /  Releases: ESXi 9.0"
"HCS-WD-cl01","wd-esx04","Server","Dell Inc. PowerEdge R750","2","32","32","64","","Dell PowerEdge R750","100","OK","OK","VCF Supported:   /  Releases: ESXi 9.0"
"HCS-WD-cl01","wd-esx03","Server","Dell Inc. PowerEdge R750","2","32","32","64","","Dell PowerEdge R750","100","OK","OK","VCF Supported:   /  Releases: ESXi 9.0"
"HCS-WD-cl01","wd-esx02","Server","Dell Inc. PowerEdge R750","2","32","32","64","","Dell PowerEdge R750","100","OK","OK","VCF Supported:   /  Releases: ESXi 9.0"
"epa-cl01","fu-04","Server","FUJITSU PRIMERGY RX2540 M5","2","12","16","32","(actual 12 cores/socket -> raised to minimum 16)","Fujitsu PRIMERGY RX2540 M5","100","OK","OK","VCF Supported:   /  Releases: ESXi 9.0"
"epa-cl01","fu-05","Server","FUJITSU PRIMERGY RX2540 M5","2","12","16","32","(actual 12 cores/socket -> raised to minimum 16)","Fujitsu PRIMERGY RX2540 M5","100","OK","OK","VCF Supported:   /  Releases: ESXi 9.0"
"epa-cl01","fu-03","Server","FUJITSU PRIMERGY RX2540 M5","2","12","16","32","(actual 12 cores/socket -> raised to minimum 16)","Fujitsu PRIMERGY RX2540 M5","100","OK","OK","VCF Supported:   /  Releases: ESXi 9.0"
"epa-cl01","fu-01","Server","FUJITSU PRIMERGY RX2540 M5","2","12","16","32","(actual 12 cores/socket -> raised to minimum 16)","Fujitsu PRIMERGY RX2540 M5","100","OK","OK","VCF Supported:   /  Releases: ESXi 9.0"
"epa-cl01","fu-02","Server","FUJITSU PRIMERGY RX2540 M5","2","12","16","32","(actual 12 cores/socket -> raised to minimum 16)","Fujitsu PRIMERGY RX2540 M5","100","OK","OK","VCF Supported:   /  Releases: ESXi 9.0"
"epa-cl01","fu-06","Server","FUJITSU PRIMERGY RX2540 M5","2","12","16","32","(actual 12 cores/socket -> raised to minimum 16)","Fujitsu PRIMERGY RX2540 M5","100","OK","OK","VCF Supported:   /  Releases: ESXi 9.0"
