"No","MatchedAgainst","Category","MatchType","AdvisoryID","Title","Severity","CVSS","Published","CVEs","MatchedFixVersions","MatchedRowsDetail","PossibleBundleRowsDetail","Link","CveLookupInfo"
"1","vCenter Server 9.1.0 (build 25629530)","vCenter","Possible only (bundle product - verify version)","VCDSA38017","VMSA-2026-0006.1: VMware ESX, vCenter, Workstation, and Fusion updates address multiple vulnerabilities (CVE-2026-59309, CVE-2026-59310, CVE-2026-47876, CVE-2026-41703, CVE-2026-41709)","CRITICAL","2.7-9.8","29 July 2026","CVE-2026-59309; CVE-2026-59310; CVE-2026-47876; CVE-2026-41703; CVE-2026-41709","","","VMware Cloud Foundation, VMware vSphere Foundation (vCenter) | 9.1.x.x | Any | CVE-2026-59309, CVE-2026-59310 | 9.8 | Critical | [1] 9.1.0.0300 | None | FAQ <br> VMware Cloud Foundation, VMware vSphere Foundation (vCenter) | 9.0.x.x | Any | CVE-2026-59309, CVE-2026-59310 | 9.8 | Critical | 9.0.2.0100 | None | FAQ","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/38017",""
"2","vCenter Server 9.1.0 (build 25629530)","vCenter","Possible only (bundle product - verify version)","VCDSA36150","VMSA-2025-0016: VMware vCenter and NSX updates address multiple vulnerabilities (CVE-2025-41250, CVE-2025-41251, CVE-2025-41252)","HIGH","7.5-8.5","29 September 2025","CVE-2025-41250; CVE-2025-41251; CVE-2025-41252","","","VMware Cloud Foundation, VMware vSphere Foundation (vCenter) | 9.x.x.x | Any | CVE-2025-41250 | 8.5 | Important | 9.0.1.0 | None | None","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/36150",""
"3","vCenter Server 9.1.0 (build 25629530)","vCenter","Possible only (bundle product - verify version)","VCDSA35964","VMSA-2025-0014: VMware vCenter updates address a denial-of-service vulnerability (CVE-2025-41241)","MEDIUM","4.4","29 July 2025","CVE-2025-41241CVE-2025-41241 CVE-2025-41241 CVE-2025-41241 CVE-2025-41241 CVE-2025-41241 CVE-2025-41241 CVE-2025-41241 CVE-2025-41241 CVE-2025-41241 CVE-2025-41241 CVE-2025-41241 CVE-2025-41241 CVE-2025-41241 CVE-2025-41241 CVE-2025-41241 CVE-2025-41241 CVE-2025-41241","","","VMware Cloud Foundation, VMware vSphere Foundation (vCenter) | 9.0.0.0 | Any | CVE-2025-41241 |  |  | N/A | N/A | Unaffected","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/35964",""
"4","ESXi 9.1.0 (build 25557999) - 4 host(s)","ESX","Possible only (bundle product - verify version)","VCDSA38017","VMSA-2026-0006.1: VMware ESX, vCenter, Workstation, and Fusion updates address multiple vulnerabilities (CVE-2026-59309, CVE-2026-59310, CVE-2026-47876, CVE-2026-41703, CVE-2026-41709)","CRITICAL","2.7-9.8","29 July 2026","CVE-2026-59309; CVE-2026-59310; CVE-2026-47876; CVE-2026-41703; CVE-2026-41709","","","VMware Cloud Foundation, VMware vSphere Foundation (ESX) | 9.1.x.x | Any | CVE-2026-47876 | 9.3 | Critical | ESXi-9.1.0.0200-25557999 | None | FAQ <br> VMware Cloud Foundation, VMware vSphere Foundation (ESX) | 9.0.x.x | Any | CVE-2026-47876 | 9.3 | Critical | ESXi-9.0.2.0100-25595025 | None | FAQ <br> VMware Cloud Foundation, VMware vSphere Foundation (ESX) | 9.1.x.x | Any | CVE-2026-41703 | 7.6 | Important | ESXi-9.1.0.0-25370933 | None | None <br> VMware Cloud Foundation, VMware vSphere Foundation (ESX) | 9.0.x.x | Any | CVE-2026-41703 | 7.6 | Important | ESXi-9.0.2.0100-25595025 | None | None <br> VMware Cloud Foundation, VMware vSphere Foundation (ESX) | 9.1.x.x | Any | CVE-2026-41709 | 2.7 | Low | ESXi-9.1.0.0-25370933 | None | None <br> VMware Cloud Foundation, VMware vSphere Foundation (ESX) | 9.0.x.x | Any | CVE-2026-41709 | 2.7 | Low | ESXi-9.0.2.0100-25595025 | None | None","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/38017",""
"5","ESXi 9.1.0 (build 25557999) - 4 host(s)","ESX","Possible only (bundle product - verify version)","VCDSA35877","VMSA-2025-0013: VMware ESXi, Workstation, Fusion, and Tools updates address multiple vulnerabilities (CVE-2025-41236, CVE-2025-41237, CVE-2025-41238, CVE-2025-41239)","CRITICAL","6.2-9.3","15 July 2025","CVE-2025-41236; CVE-2025-41237; CVE-2025-41238; CVE-2025-41239","","","VMware Cloud Foundation, VMware vSphere Foundation (ESX) | 9.0.0.0 | Any | CVE-2025-41236, CVE-2025-41238, CVE-2025-41239 |  |  | N/A | N/A | Unaffected","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/35877",""
"6","VMware Tools (reference - no live version detected)","Tools","Reference only (no live detection)","VCDSA36149","VMSA-2025-0015: VMware Aria Operations and VMware Tools updates address multiple vulnerabilities (CVE-2025-41244,CVE-2025-41245, CVE-2025-41246)","HIGH","4.9 -7.8","29 September 2025","CVE-2025-41244; CVE-2025-41245; CVE-2025-41246","","VMware Cloud Foundation VMware vSphere Foundation (VMware Tools) | 13.x.x.x [2] | Windows, Linux | CVE-2025-41244 | 7.8 | Important | 13.0.5.0 | None | None <br> VMware Tools | 13.x.x | Windows, Linux | CVE-2025-41244 | 7.8 | Important | 13.0.5 | None |  <br> VMware Tools | 12.x.x, 11.x.x | Windows, Linux | CVE-2025-41244 | 7.8 | Important | 12.5.4 | None | None <br> VMware Cloud Foundation VMware vSphere Foundation (VMware Tools) | 13.x.x.x [2] | Windows | CVE-2025-41246 | 7.6 | Important | 13.0.5.0 | None | None <br> VMware Tools [2] | 13.x.x | Windows | CVE-2025-41246 | 7.6 | Important | 13.0.5 | None | None <br> VMware Tools [2] | 12.x.x, 11.x.x | Windows | CVE-2025-41246 | 7.6 | Important | 12.5.4 | None | None <br> VMware Tools | 12.x.x, 11.x.x | Linux | CVE-2025-41246 |  |  | N/A | N/A | Unaffected <br> VMware Tools | 12.x.x, 11.x.x | macOS | CVE-2025-41246 |  |  | N/A | N/A | Unaffected","","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/36149",""
"7","VMware Tools (reference - no live version detected)","Tools","Reference only (no live detection)","VCDSA35877","VMSA-2025-0013: VMware ESXi, Workstation, Fusion, and Tools updates address multiple vulnerabilities (CVE-2025-41236, CVE-2025-41237, CVE-2025-41238, CVE-2025-41239)","CRITICAL","6.2-9.3","15 July 2025","CVE-2025-41236; CVE-2025-41237; CVE-2025-41238; CVE-2025-41239","","VMware Tools [1] | 13.0.0.0 | Windows | CVE-2025-41239 | 6.2 | Moderate | 13.0.1.0 | None | FAQ <br> VMware Tools [1] | 13.x.x | Windows | CVE-2025-41239 | 6.2 | Moderate | 13.0.1.0 | None | FAQ <br> VMware Tools [1] | 12.x.x, 11.x.x | Windows | CVE-2025-41239 | 6.2 | Moderate | 12.5.3 [2] | None | FAQ <br> VMware Tools | 13.x.x, 12.x.x, 11.x.x | Linux | CVE-2025-41239 |  |  | N/A | N/A | Unaffected <br> VMware Tools | 13.x.x, 12.x.x, 11.x.x | macOS | CVE-2025-41239 |  |  | N/A | N/A | Unaffected","","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/35877",""
"8","VMware Tools (reference - no live version detected)","Tools","Reference only (no live detection)","VCDSA25683","VMSA-2025-0007: VMware Tools update addresses an insecure file handling vulnerability (CVE-2025-22247)","MEDIUM","6.1","12 May 2025","CVE-2025-22247CVE-2025-22247 CVE-2025-22247 CVE-2025-22247 CVE-2025-22247 CVE-2025-22247 CVE-2025-22247 CVE-2025-22247 CVE-2025-22247 CVE-2025-22247 CVE-2025-22247 CVE-2025-22247 CVE-2025-22247 CVE-2025-22247 CVE-2025-22247","","VMware Tools | 12.x.x, 11.x.x | Windows | CVE-2025-22247 | 6.1 | Moderate | 12.5.2 [1] | None | None <br> VMware Tools [2] | 12.x.x, 11.x.x | Linux | CVE-2025-22247 | 6.1 | Moderate | 12.5.2 [3] | None | None <br> VMware Tools | 12.x.x, 11.x.x | macOS | CVE-2025-22247 |  |  | N/A | N/A | Unaffected","","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/25683",""
"9","VMware Tools (reference - no live version detected)","Tools","Reference only (no live detection)","VCDSA25518","VMSA-2025-0005: VMware Tools for Windows update addresses an authentication bypass vulnerability (CVE-2025-22230)","HIGH","7.8","25 March 2025","CVE-2025-22230CVE-2025-22230 CVE-2025-22230 CVE-2025-22230 CVE-2025-22230 CVE-2025-22230 CVE-2025-22230 CVE-2025-22230 CVE-2025-22230 CVE-2025-22230 CVE-2025-22230 CVE-2025-22230 CVE-2025-22230 CVE-2025-22230","","VMware Tools [2] | 12.x.x, 11.x.x | Windows | CVE-2025-22230 | 7.8 | Important | 12.5.1 [1] | None | None <br> VMware Tools | 12.x.x, 11.x.x | Linux | CVE-2025-22230 |  |  | N/A | N/A | Unaffected <br> VMware Tools | 12.x.x, 11.x.x | macOS | CVE-2025-22230 |  |  | N/A | N/A | Unaffected","","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/25518",""
"10","VMware Tools (reference - no live version detected)","Tools","Reference only (no live detection)","VCDSA23678","VMSA-2023-0024:VMware Tools updates address Local Privilege Escalation and SAML Token Signature Bypass vulnerabilities","HIGH","","24 October 2023","CVE-2023-34057; CVE-2023-34058; CVE-2023-20900","","VMware Tools | 12.x.x, 11.x.x, 10.3.x | macOS | CVE-2023-34057 | 7.8 | important | 12.1.1 | None | None <br> VMware Tools | 12.x.x, 11.x.x, 10.3.x | Windows | CVE-2023-34057 |  |  | N/A | N/A | Unaffected <br> VMware Tools | 12.x.x, 11.x.x, 10.3.x | macOS | CVE-2023-34058 |  |  | N/A | N/A | Unaffected <br> VMware Tools | 12.x.x, 11.x.x, 10.3.x | Windows | CVE-2023-34058 | 7.1 | important | 12.3.5 | None | None","","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/23678",""
