"Version","No","AdvisoryID","Title","Severity","CVSS","Published","CVEs","Link","FixedInfo"
"7.6","1","VCDSA23637","VMSA-2022-0021:VMware Workspace ONE Access, Access Connector, Identity Manager, Identity Manager Connector and vRealize Automation updates address multiple vulnerabilities","CRITICAL","","31 July 2022","CVE-2022-31656; CVE-2022-31657; CVE-2022-31658; CVE-2022-31659; CVE-2022-31660; CVE-2022-31661; CVE-2022-31662; CVE-2022-31663; CVE-2022-31664; CVE-2022-31665","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/23637","Access | 21.08.0.1, 21.08.0.0 | Linux | CVE-2022-31656 | 9.8 | critical | KB89096 | KB89084 | FAQ<br>Access | 21.08.0.1, 21.08.0.0 | Linux | CVE-2022-31658 | 8.0 | important | KB89096 | None | FAQ<br>Access | 21.08.0.1, 21.08.0.0 | Linux | CVE-2022-31659 | 8.0 | important | KB89096 | None | FAQ<br>Access | 21.08.0.1, 21.08.0.0 | Linux | CVE-2022-31660, CVE-2022-31661 | 7.8 | important | KB89096 | None | FAQ<br>Access | 21.08.0.1, 21.08.0.0 | Linux | CVE-2022-31664 | 7.8 | important | KB89096 | None | FAQ<br>Access | 21.08.0.1, 21.08.0.0 | Linux | CVE-2022-31665 | 7.6 | important | KB89096 | None | FAQ<br>Access | 21.08.0.1, 21.08.0.0 | Linux | CVE-2022-31657 | 5.9 | moderate | KB89096 | None | FAQ<br>Access | 21.08.0.1, 21.08.0.0 | Linux | CVE-2022-31662 | 5.3 | moderate | KB89096 | None | FAQ<br>Access | 21.08.0.1, 21.08.0.0 | Linux | CVE-2022-31663 | 4.7 | moderate | KB89096 | None | FAQ<br>vIDM | 3.3.6, 3.3.5, 3.3.4 | Linux | CVE-2022-31656 | 9.8 | critical | KB89096 | KB89084 | FAQ<br>vIDM | 3.3.6, 3.3.5, 3.3.4 | Linux | CVE-2022-31658 | 8.0 | important | KB89096 | None | FAQ<br>vIDM | 3.3.6, 3.3.5, 3.3.4 | Linux | CVE-2022-31659 | 8.0 | important | KB89096 | None | FAQ<br>vIDM | 3.3.6, 3.3.5, 3.3.4 | Linux | CVE-2022-31660, CVE-2022-31661 | 7.8 | important | KB89096 | None | FAQ<br>vIDM | 3.3.6, 3.3.5, 3.3.4 | Linux | CVE-2022-31664 | 7.8 | important | KB89096 | None | FAQ<br>vIDM | 3.3.6, 3.3.5, 3.3.4 | Linux | CVE-2022-31665 | 7.6 | important | KB89096 | None | FAQ<br>vIDM | 3.3.6, 3.3.5, 3.3.4 | Linux | CVE-2022-31657 | 5.9 | moderate | KB89096 | None | FAQ<br>vIDM | 3.3.6, 3.3.5, 3.3.4 | Linux | CVE-2022-31662 | 5.3 | moderate | KB89096 | None | FAQ<br>vIDM | 3.3.6, 3.3.5, 3.3.4 | Linux | CVE-2022-31663 | 4.7 | moderate | KB89096 | None | FAQ<br>vIDM Connector | 3.3.6, 3.3.5, 3.3.4 | Windows | CVE-2022-31662 | 5.3 | moderate | KB89096 | None | FAQ<br>vIDM Connector | 19.03.0.1 | Windows | CVE-2022-31662 | 5.3 | moderate | KB89096 | None | FAQ<br>vRealize Automation (vIDM) [2] | 7.6 | Linux | CVE-2022-31656 | 9.8 | critical | KB89096 | KB89084 | FAQ<br>vRealize Automation (vIDM) [2] | 7.6 | Linux | CVE-2022-31658 | 8.0 | important | KB89096 | None | FAQ<br>vRealize Automation (vIDM) [2] | 7.6 | Linux | CVE-2022-31659 | 8.0 | important | KB89096 | None | FAQ<br>vRealize Automation (vIDM) [2] | 7.6 | Linux | CVE-2022-31660, CVE-2022-31661 | 7.8 | important | KB89096 | None | FAQ<br>vRealize Automation (vIDM) [2] | 7.6 | Linux | CVE-2022-31664 | 7.8 | important | KB89096 | None | FAQ<br>vRealize Automation (vIDM) [2] | 7.6 | Linux | CVE-2022-31665 | 7.6 | important | KB89096 | None | FAQ<br>vRealize Automation (vIDM) [2] | 7.6 | Linux | CVE-2022-31657 | 5.9 | moderate | KB89096 | None | FAQ<br>vRealize Automation (vIDM) [2] | 7.6 | Linux | CVE-2022-31662 | 5.3 | moderate | KB89096 | None | FAQ<br>vRealize Automation (vIDM) [2] | 7.6 | Linux | CVE-2022-31663 | 4.7 | moderate | KB89096 | None | FAQ<br>VMware Cloud Foundation (vIDM) | 4.4.x,..."
"8.x; 4.x","2","VCDSA23668","VMSA-2023-0005:VMware vRealize Orchestrator update addresses an XML External Entity (XXE) vulnerability","HIGH","","19 February 2023","CVE-2023-20855","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/23668","VMware vRealize Orchestrator | 8.x | Virtual Appliance | CVE-2023-20855 | 8.8 | important | 8.11.1 | None | None<br>VMware vRealize Automation | 8.x | Any | CVE-2023-20855 | 8.8 | important | 8.11.1 | None | None<br>VMware Cloud Foundation (vRealize Automation) | 4.x | Any | CVE-2023-20855 | 8.8 | important | KB90926 | None | None"
"7.6","3","VCDSA23630","VMSA-2022-0014:VMware Workspace ONE Access, Identity Manager and vRealize Automation updates address multiple vulnerabilities","CRITICAL","","16 May 2022","CVE-2022-22972; CVE-2022-22973","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/23630","Access | 21.08.0.1, 21.08.0.0 | Linux | CVE-2022-22972 | 9.8 | critical | KB88438 | KB88433 | FAQ<br>Access | 21.08.0.1, 21.08.0.0 | Linux | CVE-2022-22973 | 7.8 | important | KB88438 | None | FAQ<br>Access | 20.10.0.1, 20.10.0.0 | Linux | CVE-2022-22972 | 9.8 | critical | KB88438 | KB88433 | FAQ<br>Access | 20.10.0.1, 20.10.0.0 | Linux | CVE-2022-22973 | 7.8 | important | KB88438 | None | FAQ<br>vIDM | 3.3.6, 3.3.5, 3.3.4, 3.3.3 | Linux | CVE-2022-22972 | 9.8 | critical | KB88438 | KB88433 | FAQ<br>vIDM | 3.3.6, 3.3.5, 3.3.4, 3.3.3 | Linux | CVE-2022-22973 | 7.8 | important | KB88438 | None | FAQ<br>vRealize Automation (vIDM) [2] | 7.6 | Linux | CVE-2022-22972 | 9.8 | critical | KB88438 | KB88433 | FAQ<br>VMware Cloud Foundation (vIDM) | 4.4, 4.3.x, 4.2.x, 4.1, 4.0.x | Any | CVE-2022-22972 | 9.8 | critical | KB88438 | KB88433 | FAQ<br>VMware Cloud Foundation (vIDM) | 4.4, 4.3.x, 4.2.x, 4.1, 4.0.x | Any | CVE-2022-22973 | 7.8 | important | KB88438 | None | FAQ<br>VMware Cloud Foundation (vRA) | 3.x | Any | CVE-2022-22972 | 9.8 | critical | KB88438 | KB88433 | FAQ<br>vRealize Suite Lifecycle Manager (vIDM) | 8.x | Any | CVE-2022-22972 | 9.8 | critical | KB88438 | KB88433 | FAQ<br>vRealize Suite Lifecycle Manager (vIDM) | 8.x | Any | CVE-2022-22973 | 7.8 | important | KB88438 | None | FAQ"
"7.6","4","VCDSA23626","VMSA-2021-0030:VMware Workspace ONE Access, Identity Manager and vRealize Automation updates address multiple vulnerabilities","MEDIUM","","16 December 2021","CVE-2021-22056; CVE-2021-22057; CVE-2021-44228","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/23626","Access | 21.08 | Linux | CVE-2021-22056, CVE-2021-22057 | 5.5, 6.6 | moderate | KB87183 | None | None<br>Access | 20.10.0.1 | Linux | CVE-2021-22056, CVE-2021-22057 | 5.5, 6.6 | moderate | KB87183 | None | None<br>Access | 20.10 | Linux | CVE-2021-22056, CVE-2021-22057 | 5.5, 6.6 | moderate | KB87183 | None | None<br>vIDM | 3.3.5 | Linux | CVE-2021-22056 | 5.5 | moderate | KB87185 | None | None<br>vIDM | 3.3.4 | Linux | CVE-2021-22056 | 5.5 | moderate | KB87185 | None | None<br>vIDM | 3.3.3 | Linux | CVE-2021-22056 | 5.5 | moderate | KB87185 | None | None<br>vRealize Automation (vIDM) [3] | 7.6 | Linux | CVE-2021-22056 | 5.5 | moderate | KB70911 | None | None<br>VMware Cloud Foundation (vIDM) | 4.x | Any | CVE-2021-22056 | 5.5 | moderate | KB87183 | None | None<br>VMware Cloud Foundation (vRA) | 3.x | Any | CVE-2021-22056 | 5.5 | moderate | KB87183 | None | None<br>vRealize Suite Lifecycle Manager (vIDM) | 8.x | Any | CVE-2021-22056 | 5.5 | moderate | KB87183 | None | None"
"8.16; 8.14.x; 8.13.x; 8.12.x; 8.11.x; 5.x, 4.x","5","VCDSA23680","VMSA-2024-0001:VMware Aria Automation (formerly vRealize Automation) updates address a Missing Access Control vulnerability","CRITICAL","","14 January 2024","CVE-2023-34063","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/23680","VMware Aria Automation | 8.16 | Any | CVE-2023-34063 | N/A | N/A | Unaffected | N/A | FAQ<br>VMware Aria Automation | 8.14.x | Any | CVE-2023-34063 | 9.9 | critical | 8.14.1 + Patch | N/A | FAQ<br>VMware Aria Automation | 8.13.x | Any | CVE-2023-34063 | 9.9 | critical | 8.13.1 + Patch | N/A | FAQ<br>VMware Aria Automation | 8.12.x | Any | CVE-2023-34063 | 9.9 | critical | 8.12.2 + Patch | N/A | FAQ<br>VMware Aria Automation | 8.11.x | Any | CVE-2023-34063 | 9.9 | critical | 8.11.2 + Patch | N/A | FAQ<br>VMware Cloud Foundation (Aria Automation) | 5.x, 4.x | Any | CVE-2023-34063 | 9.9 | critical | KB96136 | N/A | FAQ"
"8.18.x","6","VCDSA25711","VMSA-2025-0008: VMware Aria automation updates address a DOM based Cross-site scripting vulnerability (CVE-2025-22249)","HIGH","8.2","12 May 2025","CVE-2025-22249CVE-2025-22249 CVE-2025-22249 CVE-2025-22249 CVE-2025-22249 CVE-2025-22249 CVE-2025-22249 CVE-2025-22249 CVE-2025-22249 CVE-2025-22249 CVE-2025-22249 CVE-2025-22249 CVE-2025-22249","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/25711","Version | Running On | CVE | CVSSv3 | Severity | Fixed Version | Workarounds | Additional Documents<br>VMware Aria Automation | 8.18.x | Any | CVE-2025-22249 | 8.2 | Important | 8.18.1 patch 2 | None | None<br>VMware Cloud Foundation | 5.x, 4.x | Any | CVE-2025-22249 | 8.2 | Important | KB394224 | None | None"
"8.x; 4.x","7","VCDSA23615","VMSA-2021-0023:VMware vRealize Orchestrator update addresses open redirect vulnerability","MEDIUM","","10 October 2021","CVE-2021-22036","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/23615","VMware vRealize Orchestrator | 8.x | Virtual Appliance | CVE-2021-22036 | 6.5 | moderate | 8.6 | None | None<br>VMware vRealize Automation | 8.x | Any | CVE-2021-22036 | 6.5 | moderate | 8.6 | None | None<br>VMware Cloud Foundation (vRealize Automation) | 4.x | Any | CVE-2021-22036 | 6.5 | moderate | Patch Planned | None | None"
"8.17.0; 8.x","8","VCDSA24598","VMSA-2024-0017: VMware Aria Automation updates address SQL-injection vulnerability (CVE-2024-22280)","HIGH","8.5","10 July 2024","CVE-2024-22280CVE-2024-22280 CVE-2024-22280 CVE-2024-22280 CVE-2024-22280 CVE-2024-22280 CVE-2024-22280 CVE-2024-22280 CVE-2024-22280 CVE-2024-22280 CVE-2024-22280 CVE-2024-22280","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/24598","VMware Aria Automation | 8.17.0 | Any | Unaffected | Unaffected | Unaffected | Unaffected | None | None<br>VMware Aria Automation | 8.x | Any | CVE-2024-22280 | 8.5 | Important | KB325790 | None | None<br>VMware Cloud Foundation | 5.x, 4.x | Any | CVE-2024-22280 | 8.5 | Important | KB325790 | None | None"
"8.x","9","VCDSA25312","VMSA-2025-0001: VMware Aria automation update addresses a server side request forgery vulnerability (CVE-2025-22215)","MEDIUM","4.3","07 January 2025","CVE-2025-22215CVE-2025-22215 CVE-2025-22215 CVE-2025-22215 CVE-2025-22215 CVE-2025-22215 CVE-2025-22215 CVE-2025-22215 CVE-2025-22215 CVE-2025-22215 CVE-2025-22215 CVE-2025-22215","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/25312","VMware Aria Automation | 8.x | Any | CVE-2025-22215 | 4.3 | Moderate | 8.18.1 patch 1 | None | None<br>VMware Cloud Foundation | 5.x, 4.x | Any | CVE-2025-22215 | 4.3 | Moderate | KB 385294 | None | None"
"7.6","10","VCDSA23639","VMSA-2022-0011:VMware Workspace ONE Access, Identity Manager and vRealize Automation updates address multiple vulnerabilities","CRITICAL","","04 April 2022","CVE-2022-22954; CVE-2022-22955; CVE-2022-22956; CVE-2022-22957; CVE-2022-22958; CVE-2022-22959; CVE-2022-22960; CVE-2022-22961","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/23639","Access | 21.08.0.1, 21.08.0.0 | Linux | CVE-2022-22954 | 9.8 | critical | KB88099 | KB88098 | FAQ<br>Access | 21.08.0.1, 21.08.0.0 | Linux | CVE-2022-22955, CVE-2022-22956 | 9.8 | critical | KB88099 | KB88098 | FAQ<br>Access | 21.08.0.1, 21.08.0.0 | Linux | CVE-2022-22957, CVE-2022-22958 | 9.1 | critical | KB88099 | KB88098 | FAQ<br>Access | 21.08.0.1, 21.08.0.0 | Linux | CVE-2022-22959 | 8.8 | important | KB88099 | KB88098 | FAQ<br>Access | 21.08.0.1, 21.08.0.0 | Linux | CVE-2022-22960 | 7.8 | important | KB88099 | KB88098 | FAQ<br>Access | 21.08.0.1, 21.08.0.0 | Linux | CVE-2022-22961 | 5.3 | moderate | KB88099 | None | FAQ<br>Access | 20.10.0.1, 20.10.0.0 | Linux | CVE-2022-22954 | 9.8 | critical | KB88099 | KB88098 | FAQ<br>Access | 20.10.0.1, 20.10.0.0 | Linux | CVE-2022-22955, CVE-2022-22956 | 9.8 | critical | KB88099 | KB88098 | FAQ<br>Access | 20.10.0.1, 20.10.0.0 | Linux | CVE-2022-22957, CVE-2022-22958 | 9.1 | critical | KB88099 | KB88098 | FAQ<br>Access | 20.10.0.1, 20.10.0.0 | Linux | CVE-2022-22959 | 8.8 | important | KB88099 | KB88098 | FAQ<br>Access | 20.10.0.1, 20.10.0.0 | Linux | CVE-2022-22960 | 7.8 | important | KB88099 | KB88098 | FAQ<br>Access | 20.10.0.1, 20.10.0.0 | Linux | CVE-2022-22961 | 5.3 | moderate | KB88099 | None | FAQ<br>vIDM | 3.3.6, 3.3.5, 3.3.4, 3.3.3 | Linux | CVE-2022-22954 | 9.8 | critical | KB88099 | KB88098 | FAQ<br>vIDM | 3.3.6, 3.3.5, 3.3.4, 3.3.3 | Linux | CVE-2022-22957, CVE-2022-22958 | 9.1 | critical | KB88099 | KB88098 | FAQ<br>vIDM | 3.3.6, 3.3.5, 3.3.4, 3.3.3 | Linux | CVE-2022-22959 | 8.8 | important | KB88099 | KB88098 | FAQ<br>vIDM | 3.3.6, 3.3.5, 3.3.4, 3.3.3 | Linux | CVE-2022-22960 | 7.8 | important | KB88099 | KB88098 | FAQ<br>vIDM | 3.3.6, 3.3.5, 3.3.4, 3.3.3 | Linux | CVE-2022-22961 | 5.3 | moderate | KB88099 | None | FAQ<br>vRealize Automation (vIDM) [2] | 7.6 | Linux | CVE-2022-22957, CVE-2022-22958 | 9.1 | critical | KB88099 | KB88098 | FAQ<br>vRealize Automation (vIDM) [2] | 7.6 | Linux | CVE-2022-22959 | 8.8 | important | KB88099 | KB88098 | FAQ<br>vRealize Automation (vIDM) [2] | 7.6 | Linux | CVE-2022-22960 | 7.8 | important | KB88099 | KB88098 | FAQ<br>VMware Cloud Foundation (vIDM) | 4.x | Any | CVE-2022-22954, CVE-2022-22957, CVE-2022-22958, CVE-2022-22959, CVE-2022-22960, CVE-2022-22961 | 9.8, 9.1, 9.1, 8.8, 7.8, 5.3 | critical | KB88099 | KB88098 | FAQ<br>VMware Cloud Foundation (vRA) | 3.x | Any | CVE-2022-22957, CVE-2022-22958, CVE-2022-22959, CVE-2022-22960 | 9.1, 9.1, 8.8, 7.8 | critical | KB88099 | KB88098 | FAQ<br>vRealize Suite Lifecycle Manager (vIDM) | 8.x | Any | CVE-2022-22954, CVE-2022-22957, CVE-2022-22958, CVE-2022-22959, CVE-2022-22960, CVE-2022-22961 | 9.8, 9.1, 9.1, 8.8, 7.8, 5.3 | critical | KB88099 | KB88098 | FAQ"
