"Version","No","AdvisoryID","Title","Severity","CVSS","Published","CVEs","Link","FixedInfo"
"5.0; 500; 4.1; 410; 4.0; 400; 3.5; 41","1","VCDSA23424","VMSA-2011-0009:VMware hosted product updates, ESX patches and VI Client update resolve multiple security issue","HIGH","","31 May 2011","CVE-2009-4536; CVE-2010-1188; CVE-2009-3080; CVE-2010-2240; CVE-2011-2146; CVE-2011-1787; CVE-2011-2145; CVE-2011-2217","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/23424","ESXi | 5.0 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 500 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 4.1 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 410 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 4.0 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 400 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 3.5 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 41 | N/A | N/A | N/A | N/A | N/A | N/A | <br>VMware Tools | 5 | N/A | N/A | N/A | N/A | N/A | N/A | "
"6.7; 6.5; 6.0","2","VCDSA23557","VMSA-2019-0012:VMware ESXi, Workstation and Fusion updates address out-of-bounds read/write vulnerabilities","HIGH","6.3-8.5","31 July 2019","CVE-2019-5521; CVE-2019-5684","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/23557","ESXi | 6.7 | Any | CVE-2019-5521/CVE-2019-5684 | 6.3/8.5 | Important | ESXi670-201904101-SG | see VMSA-2018-0025 | None<br>ESXi | 6.5 | Any | CVE-2019-5521/CVE-2019-5684 | 6.3/8.5 | Important | ESXi650-201903001 | see VMSA-2018-0025 | None<br>ESXi | 6.0 | Any | CVE-2019-5521/CVE-2019-5684 | N/A | N/A | Not affected | N/A | N/A<br>Workstation | 15.x | Any | CVE-2019-5521/CVE-2019-5684 | 7.7/8.5 | Important | 15.0.3 | see VMSA-2018-0025 | None<br>Workstation | 14.x | Any | CVE-2019-5521/CVE-2019-5684 | 7.7/8.5 | Important | 14.1.6 | see VMSA-2018-0025 | None<br>Fusion | 11.x | OSX | CVE-2019-5521/CVE-2019-5684 | 7.7/8.5 | Important | 11.0.3 | see VMSA-2018-0025 | None<br>Fusion | 10.x | OSX | CVE-2019-5521/CVE-2019-5684 | 7.7/8.5 | Important | 10.1.6 | see VMSA-2018-0025 | None"
"4.1; 410; 4.0; 400; 3.5","3","VCDSA23404","VMSA-2010-0018:VMware hosted products and ESX patches resolve multiple security issues","HIGH","","30 November 2010","CVE-2010-4295; CVE-2010-4296; CVE-2010-4297; CVE-2010-4294","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/23404","ESXi | 4.1 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 410 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 4.0 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 400 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 3.5 | N/A | N/A | N/A | N/A | N/A | N/A | <br>VMware Tools | 5 | N/A | N/A | N/A | N/A | N/A | N/A | "
"3.5","4","VCDSA23366","VMSA-2008-0019:VMware Hosted products and patches for ESX and ESXi resolve a CRITICAL security issue and update bzip2","CRITICAL","","30 November 2008","CVE-2008-4917; CVE-2008-1372","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/23366","ESXi | 3.5 | N/A | N/A | N/A | N/A | N/A | N/A | "
"6.7; 670; 6.5; 650; 6.0; 600; 5.5; 550; 5.1; 510; 5.0; 500; 5.5 U3","5","VCDSA23482","VMSA-2015-0007:VMware vCenter and ESXi updates address CRITICAL security issues.","CRITICAL","","29 September 2015","CVE-2015-5177; CVE-2015-2342; CVE-2015-1047; CVE-2105-2342","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/23482","vCenter Server | 6.0 | N/A | N/A | N/A | N/A | N/A | N/A | <br>vCenter Server | 5.5 | N/A | N/A | N/A | N/A | N/A | N/A | <br>vCenter Server | 5.1 | N/A | N/A | N/A | N/A | N/A | N/A | <br>vCenter Server | 5.0 | N/A | N/A | N/A | N/A | N/A | N/A | <br>vCenter Server | 5.0 U3 | N/A | N/A | N/A | N/A | N/A | N/A | <br>vCenter Server | 5.1 u3 | N/A | N/A | N/A | N/A | N/A | N/A | <br>vCenter Server | 6.0.0 | N/A | N/A | N/A | N/A | N/A | N/A | <br>vCenter Server | 5.5 U3 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 6.7 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 670 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 6.5 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 650 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 6.0 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 600 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 5.5 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 550 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 5.1 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 510 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 5.0 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 500 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 5.5 U3 | N/A | N/A | N/A | N/A | N/A | N/A | "
"3.5","6","VCDSA23364","VMSA-2008-0017:Updated ESX packages for libxml2, ucd-snmp, libtiff","MEDIUM","","29 October 2008","CVE-2008-3281; CVE-2008-0960; CVE-2008-2327; CVE-2008-3529","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/23364","ESXi | 3.5 | N/A | N/A | N/A | N/A | N/A | N/A | "
"9.1.x.x; 9.0.x.x; 5.x; 5.0.x, 5.1.x","7","VCDSA38017","VMSA-2026-0006.1: VMware ESX, vCenter, Workstation, and Fusion updates address multiple vulnerabilities (CVE-2026-59309, CVE-2026-59310, CVE-2026-47876, CVE-2026-41703, CVE-2026-41709)","CRITICAL","2.7-9.8","29 July 2026","CVE-2026-59309; CVE-2026-59310; CVE-2026-47876; CVE-2026-41703; CVE-2026-41709","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/38017","VMware Cloud Foundation, VMware vSphere Foundation | vCenter | 9.1.x.x | Any | CVE-2026-59309, CVE-2026-59310 | 9.8 | Critical | [1] 9.1.0.0300 | None | FAQ<br>VMware Cloud Foundation, VMware vSphere Foundation | vCenter | 9.0.x.x | Any | CVE-2026-59309, CVE-2026-59310 | 9.8 | Critical | 9.0.2.0100 | None | FAQ<br>VMware Cloud Foundation | vCenter | 5.x | Any | CVE-2026-59309, CVE-2026-59310 | 9.8 | Critical | Async patch to 8.0 U3k | None | Async Patching Guide: KB88287<br>VMware Cloud Foundation, VMware vSphere Foundation | ESX | 9.1.x.x | Any | CVE-2026-47876 | 9.3 | Critical | ESXi-9.1.0.0200-25557999 | None | FAQ<br>VMware Cloud Foundation, VMware vSphere Foundation | ESX | 9.0.x.x | Any | CVE-2026-47876 | 9.3 | Critical | ESXi-9.0.2.0100-25595025 | None | FAQ<br>VMware ESX | N/A | 8.0 | Any | CVE-2026-47876 | 9.3 | Critical | ESXi80U3k-25595708 | None | FAQ<br>VMware ESX | N/A | 8.0 | Any | CVE-2026-47876 | 9.3 | Critical | ESXi80U2f-25626445 | None | FAQ<br>VMware ESX | N/A | 7.0 | Any | CVE-2026-47876 | 9.3 | Critical | Contact Broadcom Support if you have extended support contract. | None | FAQ<br>VMware Cloud Foundation | ESX | 5.x | Any | CVE-2026-47876 | 9.3 | Critical | Async Patching Guide: KB88287 | None | FAQ<br>VMware Telco Cloud Platform | ESX | 5.0.x, 5.1.x | Any | CVE-2026-47876 | 9.3 | Critical | KB449886 | None | None<br>VMware Cloud Foundation, VMware vSphere Foundation | ESX | 9.1.x.x | Any | CVE-2026-41703 | 7.6 | Important | ESXi-9.1.0.0-25370933 | None | None<br>VMware Cloud Foundation, VMware vSphere Foundation | ESX | 9.0.x.x | Any | CVE-2026-41703 | 7.6 | Important | ESXi-9.0.2.0100-25595025 | None | None<br>VMware ESX | N/A | 8.0 | Any | CVE-2026-41703 | 7.6 | Important | ESXi80U3i-25205845 | None | None<br>VMware Workstation | N/A | 25H2 | Any | CVE-2026-41703 | 2.7 | Low | 26H1 | None | None<br>VMware Fusion | N/A | 25H2 | Any | CVE-2026-41703 | 2.7 | Low | 26H1 | None | None<br>VMware Cloud Foundation | ESX | 5.x | Any | CVE-2026-41703 | 7.6 | Important | 5.2.3 | None | Async Patching Guide: KB88287<br>VMware Telco Cloud Platform | ESX | 5.0.x, 5.1.x | Any | CVE-2026-41703 | 7.6 | Important | KB449886 | None | None<br>VMware Cloud Foundation, VMware vSphere Foundation | ESX | 9.1.x.x | Any | CVE-2026-41709 | 2.7 | Low | ESXi-9.1.0.0-25370933 | None | None<br>VMware Cloud Foundation, VMware vSphere Foundation | ESX | 9.0.x.x | Any | CVE-2026-41709 | 2.7 | Low | ESXi-9.0.2.0100-25595025 | None | None<br>VMware ESX | N/A | 8.0 | Any | CVE-2026-41709 | 2.7 | Low | ESXi80U3j-25429389 | None | None<br>VMware Cloud Foundation | ESX | 5.x | Any | CVE-2026-41709 | 2.7 | Low | 5.2.4 | None | Async Patching Guide: KB88287<br>VMware Telco Cloud Platform | ESX | 5.0.x, 5.1.x | Any | CVE-2026-41709 | 2.7 | Low | KB449886 | None | None"
"5.1; 510; 5.0; 4.1; 410; 4.0; 400; 500","8","VCDSA23453","VMSA-2013-0009:VMware vSphere, ESX and ESXi updates to third party libraries","HIGH","","29 July 2013","CVE-2013-1662; CVE-2013-0169; CVE-2013-0166; CVE-2013-0338; CVE-2013-2116; CVE-2013-0268; CVE-2013-0871","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/23453","vCenter Server | 5.1 | N/A | N/A | N/A | N/A | N/A | N/A | <br>vCenter Server | 5.0 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 5.1 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 510 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 5.0 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 4.1 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 410 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 4.0 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 400 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 500 | N/A | N/A | N/A | N/A | N/A | N/A | "
"5.0; 500; 4.1; 410; 4.0; 400; 3.5; 5.1; 2; 350","9","VCDSA23442","VMSA-2013-0001:VMware vSphere security updates for the authentication service and third party libraries","MEDIUM","","29 January 2013","CVE-2013-1406; CVE-2013-1405; CVE-2011-3102; CVE-2012-2807; CVE-2012-4244; CVE-2011-1202; CVE-2011-3970; CVE-2012-2825; CVE-2012-2870; CVE-2012-2871","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/23442","vCenter Server | 4.1 | N/A | N/A | N/A | N/A | N/A | N/A | <br>vCenter Server | 4.0 | N/A | N/A | N/A | N/A | N/A | N/A | <br>vCenter Server | 5.1 | N/A | N/A | N/A | N/A | N/A | N/A | <br>vCenter Server | 5.0 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 5.0 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 500 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 4.1 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 410 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 4.0 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 400 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 3.5 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 5.1 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 2 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 350 | N/A | N/A | N/A | N/A | N/A | N/A | "
"3.5","10","VCDSA23385","VMSA-2009-0008:ESX Service Console update for krb5","HIGH","","28 June 2009","CVE-2009-0846; CVE-2009-0845; CVE-2009-0844","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/23385","ESXi | 3.5 | N/A | N/A | N/A | N/A | N/A | N/A | "
