"Version","No","AdvisoryID","Title","Severity","CVSS","Published","CVEs","Link","FixedInfo"
"6.1; 614; 4; 6.1.4","1","VCDSA23449","VMSA-2015-0003:VMware product updates address CRITICAL information disclosure issue in JRE.","CRITICAL","","31 March 2015","CVE-2014-6593","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/23449","vCenter Server | 6.0 | N/A | N/A | N/A | N/A | N/A | N/A | <br>vCenter Server | 5.5 | N/A | N/A | N/A | N/A | N/A | N/A | <br>vCenter Server | 5.1 | N/A | N/A | N/A | N/A | N/A | N/A | <br>vCenter Server | 5.0 | N/A | N/A | N/A | N/A | N/A | N/A | <br>NSX | 6.1 | N/A | N/A | N/A | N/A | N/A | N/A | <br>NSX | 614 | N/A | N/A | N/A | N/A | N/A | N/A | <br>NSX | 4 | N/A | N/A | N/A | N/A | N/A | N/A | <br>NSX | 6.1.4 | N/A | N/A | N/A | N/A | N/A | N/A | "
"9.x.x.x; 5.x; 4.5.x; 3.x, 2.x; 5.x, 4.x, 3.x","2","VCDSA36150","VMSA-2025-0016: VMware vCenter and NSX updates address multiple vulnerabilities (CVE-2025-41250, CVE-2025-41251, CVE-2025-41252)","HIGH","7.5-8.5","29 September 2025","CVE-2025-41250; CVE-2025-41251; CVE-2025-41252","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/36150","VMware Cloud Foundation, VMware vSphere Foundation | vCenter | 9.x.x.x | Any | CVE-2025-41250 | 8.5 | Important | 9.0.1.0 | None | None<br>VMware Cloud Foundation | vCenter | 5.x | Any | CVE-2025-41250 | 8.5 | Important | 5.2.2 | None | Async Patching Guide: KB88287<br>VMware Cloud Foundation | vCenter | 4.5.x | Any | CVE-2025-41250 | 8.5 | Important | Async patch to 7.0 U3w | None | Async Patching Guide: KB88287<br>VMware Cloud Foundation, VMware vSphere Foundation | VMware NSX | 9.x.x.x | Any | CVE-2025-41251, CVE-2025-41252 | 8.1, 7.5 | Important | 9.0.1.0 | None | None<br>VMware NSX | N/A | 4.2.x | Any | CVE-2025-41251, CVE-2025-41252 | 8.1, 7.5 | Important | 4.2.2.2, 4.2.3.1 | None | None<br>VMware NSX | N/A | 4.1.x, 4.0.x | Any | CVE-2025-41251, CVE-2025-41252 | 8.1, 7.5 | Important | 4.1.2.7 | None | None<br>NSX-T | N/A | 3.x | Any | CVE-2025-41251, CVE-2025-41252 | 8.1, 7.5 | Important | 3.2.4.3 | None | None<br>VMware Cloud Foundation | VMware NSX | 5.x | Any | CVE-2025-41251, CVE-2025-41252 | 8.1, 7.5 | Important | KB88287 | None | Async Patching Guide: KB88287<br>VMware Cloud Foundation | VMware NSX | 4.5.x | Any | CVE-2025-41251, CVE-2025-41252 | 8.1, 7.5 | Important | KB88287 | None | Async Patching Guide: KB88287<br>VMware Telco Cloud Infrastructure | VMware NSX | 3.x, 2.x | Any | CVE-2025-41251, CVE-2025-41252 | 8.1, 7.5 | Important | KB411518 | None | None<br>VMware Telco Cloud Platform | VMware NSX | 5.x, 4.x, 3.x | Any | CVE-2025-41251, CVE-2025-41252 | 8.1, 7.5 | Important | KB411518 | None | None"
"6.1; 6.0; 421; 414; 611; 607; 6.1.1","3","VCDSA23467","VMSA-2014-0010:VMware product updates address CRITICAL Bash security vulnerabilities","CRITICAL","","28 September 2014","CVE-2014-6271; CVE-2014-7169; CVE-2014-7186; CVE-2014-7187; CVE-2014-6277; CVE-2014-6278","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/23467","vCenter Server | 5.5 U2 | N/A | N/A | N/A | N/A | N/A | N/A | <br>vCenter Server | 5.1 U2 | N/A | N/A | N/A | N/A | N/A | N/A | <br>vCenter Server | 5.0 U3 | N/A | N/A | N/A | N/A | N/A | N/A | <br>NSX | 6.1 | N/A | N/A | N/A | N/A | N/A | N/A | <br>NSX | 6.0 | N/A | N/A | N/A | N/A | N/A | N/A | <br>NSX | 421 | N/A | N/A | N/A | N/A | N/A | N/A | <br>NSX | 414 | N/A | N/A | N/A | N/A | N/A | N/A | <br>NSX | 611 | N/A | N/A | N/A | N/A | N/A | N/A | <br>NSX | 607 | N/A | N/A | N/A | N/A | N/A | N/A | <br>NSX | 6.1.1 | N/A | N/A | N/A | N/A | N/A | N/A | "
"4.x; 3.2.x; 3.1.x, 3.0.x; 4.5.x; 4.4.x, 4.3.x","4","VCDSA23672","VMSA-2023-0010:NSX-T update addresses cross-site scripting vulnerability","MEDIUM","","21 May 2023","CVE-2023-20868","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/23672","NSX | 4.x | Any | CVE-2023-20868 | N/A | N/A | Unaffected | None | None<br>NSX-T | 3.2.x | Any | CVE-2023-20868 | 4.3 | moderate | 3.2.3 | None | None<br>NSX-T | 3.1.x, 3.0.x | Any | CVE-2023-20868 | N/A | N/A | Unaffected | None | None<br>Cloud Foundation (NSX-T) | 4.5.x | Any | CVE-2023-20868 | 4.3 | moderate | NSX-T 3.2.3 | None | KB88287<br>Cloud Foundation (NSX-T) | 4.4.x, 4.3.x | Any | CVE-2023-20868 | N/A | N/A | Unaffected | None | None"
"3.11","5","VCDSA23646","VMSA-2022-0027:VMware Cloud Foundation updates address multiple vulnerabilities","CRITICAL","","18 October 2022","CVE-2021-39144; CVE-2022-31678","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/23646","VMware Cloud Foundation | 4.x | Any | CVE-2021-39144 | N/A | N/A | Unaffected | N/A | N/A<br>VMware Cloud Foundation (NSX-V) | 3.11 | Any | CVE-2021-39144 | 9.8 | critical | KB 89809 | None | FAQ<br>VMware Cloud Foundation | 4.x | Any | CVE-2022-31678 | N/A | N/A | Unaffected | N/A | N/A<br>VMware Cloud Foundation (NSX-V) | 3.11 | Any | CVE-2022-31678 | 5.3 | moderate | KB 89809 | None | None."
"3.x; 2.5.x; 4.x","6","VCDSA23590","VMSA-2020-0023:VMware ESXi, Workstation, Fusion and NSX-T updates address multiple security vulnerabilities","CRITICAL","","18 October 2020","CVE-2020-3981; CVE-2020-3982; CVE-2020-3992; CVE-2020-3993; CVE-2020-3994; CVE-2020-3995","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/23590","ESXi | 7.0 | Any | CVE-2020-3992 | 9.8 | critical | ESXi70U1a-17119627 | KB76372 | None<br>ESXi | 6.7 | Any | CVE-2020-3992 | 9.8 | critical | ESXi670-202011301-SG | KB76372 | None<br>ESXi | 6.5 | Any | CVE-2020-3992 | 9.8 | critical | ESXi650-202011401-SG | KB76372 | None<br>VMware Cloud Foundation (ESXi) | 4.x | Any | CVE-2020-3992 | 9.8 | critical | 4.1.0.1 | KB76372 | None.<br>VMware Cloud Foundation (ESXi) | 3.x | Any | CVE-2020-3992 | 9.8 | critical | 3.10.1.2 | KB76372 | None<br>NSX-T | 3.x | Any | CVE-2020-3993 | 7.5 | important | 3.0.2 | None | None<br>NSX-T | 2.5.x | Any | CVE-2020-3993 | 7.5 | important | 2.5.2.2.0 | None | None<br>VMware Cloud Foundation (NSX-T) | 4.x | Any | CVE-2020-3993 | 7.5 | important | 4.1 | None | None.<br>VMware Cloud Foundation (NSX-T) | 3.x | Any | CVE-2020-3993 | 7.5 | important | 3.10.1.1 | None. | None<br>ESXi | 7.0 | Any | CVE-2020-3981 | 7.1 | important | ESXi_7.0.1-0.0.16850804 | None. | None<br>ESXi | 6.7 | Any | CVE-2020-3981 | 7.1 | important | ESXi670-202008101-SG | None | None<br>ESXi | 6.5 | Any | CVE-2020-3981 | 7.1 | important | ESXi650-202007101-SG | None | None<br>Fusion | 12.x | OS X | CVE-2020-3981 | N/A | N/A | Unaffected | N/A | N/A<br>Fusion | 11.x | OS X | CVE-2020-3981 | 7.1 | important | 11.5.6 | None | None<br>Workstation | 16.x | Any | CVE-2020-3981 | N/A | N/A | Unaffected | N/A | N/A<br>Workstation | 15.x | Any | CVE-2020-3981 | 7.1 | important | 15.5.7 | None | None<br>VMware Cloud Foundation (ESXi) | 4.x | Any | CVE-2020-3981 | 7.1 | important | 4.1 | None | None.<br>VMware Cloud Foundation (ESXi) | 3.x | Any | CVE-2020-3981 | 7.1 | important | 3.10.1 | None | None<br>ESXi | 7.0 | Any | CVE-2020-3982 | 5.9 | moderate | ESXi_7.0.1-0.0.16850804 | None. | None<br>ESXi | 6.7 | Any | CVE-2020-3982 | 5.9 | moderate | ESXi670-202008101-SG | None | None<br>ESXi | 6.5 | Any | CVE-2020-3982 | 5.9 | moderate | ESXi650-202007101-SG | None | None<br>Fusion | 12.x | OS X | CVE-2020-3982 | N/A | N/A | Unaffected | N/A | N/A<br>Fusion | 11.x | OS X | CVE-2020-3982 | 5.9 | moderate | 11.5.6 | None | None<br>Workstation | 16.x | Any | CVE-2020-3982 | N/A | N/A | Unaffected | N/A | N/A<br>Workstation | 15.x | Any | CVE-2020-3982 | 5.9 | moderate | 15.5.7 | None | None<br>VMware Cloud Foundation (ESXi) | 4.x | Any | CVE-2020-3982 | 5.9 | moderate | 4.1 | None | None.<br>VMware Cloud Foundation (ESXi) | 3.x | Any | CVE-2020-3982 | 5.9 | moderate | 3.10.1 | None | None<br>vCenter Server | 7.0 | Any | CVE-2020-3994 | N/A | N/A | Unaffected | N/A | N/A<br>vCenter Server | 6.7 | Virtual Appliance | CVE-2020-3994 | 7.5 | important | 6.7 U3 | None | None<br>vCenter Server | 6.7 | Windows | CVE-2020-3994 | N/A | N/A | Unaffected | N/A | N/A<br>vCenter Server | 6.5 | Virtual Appliance | CVE-2020-3994 | 7.5 | important | 6.5 U3K | None | None<br>vCenter Server | 6.5 | Windows | CVE-2020-3994 | N/A | N/A | Unaffected | N/A | N/A<br>VMware Cloud Foundation (vCenter Server) | 4.x | Any | CVE-2020-3994 | N/A..."
"3.1.1 [2]","7","VCDSA23592","VMSA-2021-0006:VMware NSX-T updates address a privilege escalation vulnerability","HIGH","","17 April 2021","CVE-2021-21981","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/23592","NSX-T [1] | 3.1.1 [2] | Any | CVE-2021-21981 | 7.5 | important | 3.1.2 | KB83047 | None"
"3; 6.2.9; 629; 6.3.5; 635","8","VCDSA23514","VMSA-2017-0019:NSX for vSphere update addresses NSX Edge Cross-Site Scripting (XSS) issue.","MEDIUM","","15 November 2017","CVE-2017-4929","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/23514","NSX | 3 | N/A | N/A | N/A | N/A | N/A | N/A | <br>NSX | 6.2.9 | N/A | N/A | N/A | N/A | N/A | N/A | <br>NSX | 629 | N/A | N/A | N/A | N/A | N/A | N/A | <br>NSX | 6.3.5 | N/A | N/A | N/A | N/A | N/A | N/A | <br>NSX | 635 | N/A | N/A | N/A | N/A | N/A | N/A | "
"3.x","9","VCDSA23620","VMSA-2022-0005:VMware NSX Data Center for vSphere update addresses CLI shell injection vulnerability","HIGH","","13 February 2022","CVE-2022-22945","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/23620","NSX Data Center for vSphere | Any | Any | CVE-2022-22945 | 8.8 | important | 6.4.13 | KB87893 | None<br>Cloud Foundation (NSX-V) | 3.x | Any | CVE-2022-22945 | 8.8 | important | 3.11.0.1 | KB87893 | KB87863"
"6.0; 5.3; 6.0.4; 3.2.2","10","VCDSA23445","VMSA-2014-0004:VMware product updates address OpenSSL security vulnerabilities","CRITICAL","","12 April 2014","CVE-2014-0076; CVE-2014-0160","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/23445","vCenter Server | 5.5 | N/A | N/A | N/A | N/A | N/A | N/A | <br>vCenter Server | 5.5 U1 | N/A | N/A | N/A | N/A | N/A | N/A | <br>vCenter Server | 5.5.0 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 5.5 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 550 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 5.5 U1 | N/A | N/A | N/A | N/A | N/A | N/A | <br>NSX | 6.0 | N/A | N/A | N/A | N/A | N/A | N/A | <br>NSX | 5.3 | N/A | N/A | N/A | N/A | N/A | N/A | <br>NSX | 6.0.4 | N/A | N/A | N/A | N/A | N/A | N/A | <br>NSX | 3.2.2 | N/A | N/A | N/A | N/A | N/A | N/A | "
