"Version","No","AdvisoryID","Title","Severity","CVSS","Published","CVEs","Link","FixedInfo"
"8.x","1","VCDSA25329","VMSA-2025-0003: VMware Aria Operations for Logs and VMware Aria Operations updates address multiple vulnerabilities (CVE-2025-22218, CVE-2025-22219, CVE-2025-22220, CVE-2025-22221 and CVE-2025-22222)","HIGH","5.2-8.5","30 January 2025","CVE-2025-22218; CVE-2025-22219; CVE-2025-22220; CVE-2025-22221; CVE-2025-22222","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/25329","VMware Aria Operations for logs | 8.x | Any | CVE-2025-22218,  CVE-2025-22219,  CVE-2025-22220,  CVE-2025-22221 | 8.5, 6.8, 4.3, 5.2 | Important | 8.18.3 | None | None<br>VMware Aria Operations | 8.x | Any | CVE-2025-22222 | 7.7 | Important | 8.18.3 | None | None<br>VMware Cloud Foundation | 5.x, 4.x | Any | CVE-2025-22218,  CVE-2025-22219,  CVE-2025-22220,  CVE-2025-22221, CVE-2025-22222 | 8.5, 6.8, 4.3, 5.2, 7.7 | Important | KB92148 | None | None"
"9.x.x.x; 8.x; 5.x, 4.x; 3.x, 2.x","2","VCDSA36149","VMSA-2025-0015: VMware Aria Operations and VMware Tools updates address multiple vulnerabilities (CVE-2025-41244,CVE-2025-41245, CVE-2025-41246)","HIGH","4.9 -7.8","29 September 2025","CVE-2025-41244; CVE-2025-41245; CVE-2025-41246","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/36149","VMware Cloud Foundation VMware vSphere Foundation | VMware Cloud Foundation Operations | 9.x.x.x | Any | CVE-2025-41244 | 7.8 | Important | 9.0.1.0 | None | None<br>VMware Cloud Foundation VMware vSphere Foundation | VMware Tools | 13.x.x.x [2] | Windows, Linux | CVE-2025-41244 | 7.8 | Important | 13.0.5.0 | None | None<br>VMware Aria Operations | VMware Aria Operations | 8.x | Any | CVE-2025-41244, CVE-2025-41245 | 7.8 , 4.9 | Important | 8.18.5 | None | None<br>VMware Tools | N/A | 13.x.x | Windows, Linux | CVE-2025-41244 | 7.8 | Important | 13.0.5 | None<br>VMware Tools | N/A | 12.x.x, 11.x.x | Windows, Linux | CVE-2025-41244 | 7.8 | Important | 12.5.4 | None | None<br>VMware Cloud Foundation | VMware Aria Operations | 5.x, 4.x | Any | CVE-2025-41244, CVE-2025-41245 | 7.8, 4.9 | Important | KB92148 | None | None<br>VMware Telco Cloud Platform | VMware Aria Operations | 5.x, 4.x | Any | CVE-2025-41244, CVE-2025-41245 | 7.8, 4.9 | Important | 8.18.5 | None | None<br>VMware Telco Cloud Infrastructure | VMware Aria Operations | 3.x, 2.x | Any | CVE-2025-41244, CVE-2025-41245 | 7.8, 4.9 | Important | 8.18.5 | None | None<br>VMware Cloud Foundation VMware vSphere Foundation | VMware Tools | 13.x.x.x [2] | Windows | CVE-2025-41246 | 7.6 | Important | 13.0.5.0 | None | None<br>VMware Tools [2] | N/A | 13.x.x | Windows | CVE-2025-41246 | 7.6 | Important | 13.0.5 | None | None<br>VMware Tools [2] | N/A | 12.x.x, 11.x.x | Windows | CVE-2025-41246 | 7.6 | Important | 12.5.4 | None | None<br>VMware Tools | N/A | 12.x.x, 11.x.x | Linux | CVE-2025-41246 | N/A | N/A | Unaffected | N/A | N/A<br>VMware Tools | N/A | 12.x.x, 11.x.x | macOS | CVE-2025-41246 | N/A | N/A | Unaffected | N/A | N/A"
"8.6.x","3","VCDSA23658","VMSA-2023-0002:VMware vRealize Operations (vROps) update addresses a CSRF bypass vulnerability","MEDIUM","","29 January 2023","CVE-2023-20856","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/23658","VMware vRealize Operations (vROps) | 8.6.x | Any | CVE-2023-20856 | 6.5 | moderate | KB90672 | None | NA"
"8.4.0; 8.3.0; 8.2.0; 8.1.1, 8.1.0; 8.0.1, 8.0.0; 7.5.0; 7.0.0; 6.7.0","4","VCDSA23600","VMSA-2021-0004:VMware vRealize Operations updates address Server Side Request Forgery and Arbitrary File Write vulnerabilities","CRITICAL","","28 March 2021","CVE-2021-21975; CVE-2021-21983","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/23600","[2] vRealize Operations Manager | 8.4.0 | Any | CVE-2021-21975 | 4.3 | moderate | KB85383 | None | None<br>[1] vRealize Operations Manager | 8.3.0 | Any | CVE-2021-21975, CVE-2021-21983 | 7.2 - 8.6 | critical | KB85382 | KB83210 | FAQ<br>[1] vRealize Operations Manager | 8.2.0 | Any | CVE-2021-21975, CVE-2021-21983 | 7.2 - 8.6 | critical | KB85381 | KB83095 | FAQ<br>[1] vRealize Operations Manager | 8.1.1, 8.1.0 | Any | CVE-2021-21975, CVE-2021-21983 | 7.2 - 8.6 | critical | KB85380 | KB83094 | FAQ<br>[1] vRealize Operations Manager | 8.0.1, 8.0.0 | Any | CVE-2021-21975, CVE-2021-21983 | 7.2 - 8.6 | critical | KB85379 | KB83093 | FAQ<br>[1] vRealize Operations Manager | 7.5.0 | Any | CVE-2021-21975, CVE-2021-21983 | 7.2 - 8.6 | critical | KB85378 | KB82367 | FAQ<br>vRealize Operations Manager | 7.0.0 | Any | CVE-2021-21975, CVE-2021-21983 | 7.2 - 8.6 | critical | No patch planned | KB83287 | FAQ<br>vRealize Operations Manager | 6.7.0 | Any | CVE-2021-21975, CVE-2021-21983 | 7.2 - 8.6 | critical | No patch planned | KB83287 | FAQ<br>VMware Cloud Foundation (vROps) | 4.x | Any | CVE-2021-21975, CVE-2021-21983 | 7.2 - 8.6 | critical | KB83260 | See 'Response Matrix' workaround column above | FAQ<br>VMware Cloud Foundation (vROps) | 3.x | Any | CVE-2021-21975, CVE-2021-21983 | 7.2 - 8.6 | critical | KB83260 | See 'Response Matrix' workaround column above | FAQ<br>vRealize Suite Lifecycle Manager (vROps) | 8.x | Any | CVE-2021-21975, CVE-2021-21983 | 7.2 - 8.6 | critical | KB83260 | See 'Response Matrix' workaround column above | FAQ"
"6.11; 6.x","5","VCDSA23663","VMSA-2023-0018:VMware Aria Operations for Networks updates address multiple vulnerabilities.","CRITICAL","","28 August 2023","CVE-2023-34039; CVE-2023-20890","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/23663","VMware Aria Operations for Networks | 6.11 | Any | CVE-2023-34039, CVE-2023-20890 | N/A | N/A | Unaffected | N/A | N/A<br>VMware Aria Operations Networks | 6.x | Any | CVE-2023-34039, CVE-2023-20890 | 9.8, 7.2 | critical | KB94152 | None | N/A"
"8.x; 5.x; 4.x","6","VCDSA25199","VMSA-2024-0022: VMware Aria Operations updates address multiple vulnerabilities(CVE-2024-38830, CVE-2024-38831, CVE-2024-38832, CVE-2024-38833, CVE-2024-38834)","HIGH","6.5-7.8","26 November 2024","CVE-2024-38830; CVE-2024-38831; CVE-2024-38832; CVE-2024-38833; CVE-2024-38834","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/25199","VMware Aria Operations | 8.x | Any | CVE-2024-38830, CVE-2024-38831, CVE-2024-38832,CVE-2024-38833, CVE-2024-38834 | 7.8 , 7.8, 7.1, 6.8, 6.5 | Important | 8.18.2 | None | None<br>VMware Cloud Foundation (VMware Aria Operations) | 5.x | Any | CVE-2024-38830, CVE-2024-38831, CVE-2024-38832,CVE-2024-38833, CVE-2024-38834 | 7.8 , 7.8, 7.1, 6.8, 6.5 | Important | 8.18.2 | None | None<br>VMware Cloud Foundation (VMware Aria Operations) | 4.x | Any | CVE-2024-38830, CVE-2024-38831, CVE-2024-38832,CVE-2024-38833, CVE-2024-38834 | 7.8 , 7.8, 7.1, 6.8, 6.5 | Important | 8.18.2 | None | None"
"8.12.x; 8.10.x; 8.6.x; 5.x; 4.x","7","VCDSA23665","VMSA-2023-0020:VMware Aria Operations updates address local privilege escalation vulnerability.","MEDIUM","","24 September 2023","CVE-2023-34043","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/23665","VMware Aria Operations | 8.12.x | Any | CVE-2023-34043 | 6.7 | moderate | 8.12 Hot Fix 5 | N/A | N/A<br>VMware Aria Operations | 8.10.x | Any | CVE-2023-34043 | 6.7 | moderate | 8.10 Hot Fix 9 | N/A | N/A<br>VMware Aria Operations | 8.6.x | Any | CVE-2023-34043 | 6.7 | moderate | 8.6 Hot Fix 11 | N/A | N/A<br>VMware Cloud Foundation (VMware Aria Operations) | 5.x | Any | CVE-2023-34043 | 6.7 | moderate | KB92148 | N/A | N/A<br>VMware Cloud Foundation (VMware Aria Operations) | 4.x | Any | CVE-2023-34043 | 6.7 | moderate | KB92148 | N/A | N/A"
"9.x.x.x; 5.x, 4.x; 3.x, 2.x","8","VCDSA36947","VMSA-2026-0001: VMware Aria Operations updates address multiple vulnerabilities (CVE-2026-22719, CVE-2026-22720 and CVE-2026-22721)","HIGH","6.2 - 8.1","24 February 2026","CVE-2026-22719; CVE-2026-22720; CVE-2026-22721","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/36947","VMware Cloud Foundation VMware vSphere Foundation | VMware Cloud Foundation Operations | 9.x.x.x | Any | CVE-2026-22719, CVE-2026-22720, CVE-2026-22721 | 8.1, 8.0, 6.2 | Important | 9.0.2.0 | KB430349(CVE-2026-22719) | None<br>VMware Aria Operations | N/A | 8.x | Any | CVE-2026-22719, CVE-2026-22720, CVE-2026-22721 | 8.1, 8.0, 6.2 | Important | 8.18.6 | KB430349(CVE-2026-22719) | None<br>VMware Cloud Foundation | VMware Aria Operations | 5.x, 4.x | Any | CVE-2026-22719, CVE-2026-22720, CVE-2026-22721 | 8.1, 8.0, 6.2 | Important | 8.18.6 | KB430349(CVE-2026-22719) | None<br>VMware Telco Cloud Platform | VMware Aria Operations | 5.x, 4.x | Any | CVE-2026-22719, CVE-2026-22720, CVE-2026-22721 | 8.1, 8.0, 6.2 | Important | KB428241 | KB430349(CVE-2026-22719) | None<br>VMware Telco Cloud Infrastructure | VMware Aria Operations | 3.x, 2.x | Any | CVE-2026-22719, CVE-2026-22720, CVE-2026-22721 | 8.1, 8.0, 6.2 | Important | KB428241 | KB430349(CVE-2026-22719) | None"
"8.4.0; 8.3.0; 8.2.0; 8.1.1, 8.1.0; 8.0.1, 8.0.0; 7.5.0","9","VCDSA23609","VMSA-2021-0018:VMware vRealize Operations updates address multiple security vulnerabilities","HIGH","","22 August 2021","CVE-2021-22022; CVE-2021-22023; CVE-2021-22024; CVE-2021-22025; CVE-2021-22026; CVE-2021-22027","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/23609","vRealize Operations Manager | 8.4.0 | Any | CVE-2021-22022,  CVE-2021-22023, CVE-2021-22024, CVE-2021-22025, CVE-2021-22026, CVE-2021-22027 | 4.4 - 8.6 | important | KB85383 | None | FAQ<br>vRealize Operations Manager | 8.3.0 | Any | CVE-2021-22022,  CVE-2021-22023, CVE-2021-22024, CVE-2021-22025, CVE-2021-22026, CVE-2021-22027 | 4.4 - 8.6 | important | KB85382 | None | FAQ<br>vRealize Operations Manager | 8.2.0 | Any | CVE-2021-22022,  CVE-2021-22023, CVE-2021-22024, CVE-2021-22025, CVE-2021-22026, CVE-2021-22027 | 4.4 - 8.6 | important | KB85381 | None | FAQ<br>vRealize Operations Manager | 8.1.1, 8.1.0 | Any | CVE-2021-22022,  CVE-2021-22023, CVE-2021-22024, CVE-2021-22025, CVE-2021-22026, CVE-2021-22027 | 4.4 - 8.6 | important | KB85380 | None | FAQ<br>vRealize Operations Manager | 8.0.1, 8.0.0 | Any | CVE-2021-22022,  CVE-2021-22023, CVE-2021-22024, CVE-2021-22025, CVE-2021-22026, CVE-2021-22027 | 4.4 - 8.6 | important | KB85379 | None | FAQ<br>vRealize Operations Manager | 7.5.0 | Any | CVE-2021-22022,  CVE-2021-22023, CVE-2021-22024, CVE-2021-22025, CVE-2021-22026, CVE-2021-22027 | 4.4 - 8.6 | important | KB85378 | None | FAQ<br>VMware Cloud Foundation (vROps) | 4.x | Any | CVE-2021-22022,  CVE-2021-22023, CVE-2021-22024, CVE-2021-22025, CVE-2021-22026, CVE-2021-22027 | 4.4 - 8.6 | important | KB85452 | None | FAQ<br>VMware Cloud Foundation (vROps) | 3.x | Any | CVE-2021-22022,  CVE-2021-22023, CVE-2021-22024, CVE-2021-22025, CVE-2021-22026, CVE-2021-22027 | 4.4 - 8.6 | important | KB85452 | None | FAQ<br>vRealize Suite Lifecycle Manager (vROps) | 8.x | Any | CVE-2021-22022,  CVE-2021-22023, CVE-2021-22024, CVE-2021-22025, CVE-2021-22026, CVE-2021-22027 | 4.4 - 8.6 | important | KB85452 | None | FAQ"
"8.12; 8.10.2; 8.10; 8.8.x; 8.6.x; 4.x","10","VCDSA23669","VMSA-2023-0007:VMware Aria Operations for Logs (Operations for Logs) update addresses multiple vulnerabilities.","CRITICAL","","18 April 2023","CVE-2023-20864; CVE-2023-20865","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/23669","VMware Aria Operations for Logs (Operations for Logs) | 8.12 | Any | CVE-2023-20864, CVE-2023-20865 | N/A | N/A | Unaffected | None | KB91831<br>VMware Aria Operations for Logs (Operations for Logs) | 8.10.2 | Any | CVE-2023-20864, CVE-2023-20865 | 9.8, 7.2 | critical | 8.12 | None | KB91831<br>VMware Aria Operations for Logs (Operations for Logs) | 8.10 | Any | CVE-2023-20864 | N/A | N/A | Unaffected | None | KB91831<br>VMware Aria Operations for Logs (Operations for Logs) | 8.10 | Any | CVE-2023-20865 | 7.2 | important | 8.12 | None | KB91831<br>VMware Aria Operations for Logs (Operations for Logs) | 8.8.x | Any | CVE-2023-20864 | N/A | N/A | Unaffected | None | KB91831<br>VMware Aria Operations for Logs (Operations for Logs) | 8.8.x | Any | CVE-2023-20865 | 7.2 | important | 8.12 | None | KB91831<br>VMware Aria Operations for Logs (Operations for Logs) | 8.6.x | Any | CVE-2023-20864 | N/A | N/A | Unaffected | None | KB91831<br>VMware Aria Operations for Logs (Operations for Logs) | 8.6.x | Any | CVE-2023-20865 | 7.2 | important | 8.12 | None | KB91831<br>VMware Cloud Foundation (VMware Aria Operations for Logs) | 4.x | Any | CVE-2023-20864, CVE-2023-20865 | 9.8, 7.2 | critical | KB91865 | KB91865 | KB91831"
