"Version","No","AdvisoryID","Title","Severity","CVSS","Published","CVEs","Link","FixedInfo"
"5","1","VCDSA23424","VMSA-2011-0009:VMware hosted product updates, ESX patches and VI Client update resolve multiple security issue","HIGH","","31 May 2011","CVE-2009-4536; CVE-2010-1188; CVE-2009-3080; CVE-2010-2240; CVE-2011-2146; CVE-2011-1787; CVE-2011-2145; CVE-2011-2217","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/23424","ESXi | 5.0 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 500 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 4.1 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 410 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 4.0 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 400 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 3.5 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 41 | N/A | N/A | N/A | N/A | N/A | N/A | <br>VMware Tools | 5 | N/A | N/A | N/A | N/A | N/A | N/A | "
"5","2","VCDSA23404","VMSA-2010-0018:VMware hosted products and ESX patches resolve multiple security issues","HIGH","","30 November 2010","CVE-2010-4295; CVE-2010-4296; CVE-2010-4297; CVE-2010-4294","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/23404","ESXi | 4.1 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 410 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 4.0 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 400 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 3.5 | N/A | N/A | N/A | N/A | N/A | N/A | <br>VMware Tools | 5 | N/A | N/A | N/A | N/A | N/A | N/A | "
"13.x.x.x [2]; 13.x.x.x [2]","3","VCDSA36149","VMSA-2025-0015: VMware Aria Operations and VMware Tools updates address multiple vulnerabilities (CVE-2025-41244,CVE-2025-41245, CVE-2025-41246)","HIGH","4.9 -7.8","29 September 2025","CVE-2025-41244; CVE-2025-41245; CVE-2025-41246","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/36149","VMware Cloud Foundation VMware vSphere Foundation | VMware Cloud Foundation Operations | 9.x.x.x | Any | CVE-2025-41244 | 7.8 | Important | 9.0.1.0 | None | None<br>VMware Cloud Foundation VMware vSphere Foundation | VMware Tools | 13.x.x.x [2] | Windows, Linux | CVE-2025-41244 | 7.8 | Important | 13.0.5.0 | None | None<br>VMware Aria Operations | VMware Aria Operations | 8.x | Any | CVE-2025-41244, CVE-2025-41245 | 7.8 , 4.9 | Important | 8.18.5 | None | None<br>VMware Tools | N/A | 13.x.x | Windows, Linux | CVE-2025-41244 | 7.8 | Important | 13.0.5 | None<br>VMware Tools | N/A | 12.x.x, 11.x.x | Windows, Linux | CVE-2025-41244 | 7.8 | Important | 12.5.4 | None | None<br>VMware Cloud Foundation | VMware Aria Operations | 5.x, 4.x | Any | CVE-2025-41244, CVE-2025-41245 | 7.8, 4.9 | Important | KB92148 | None | None<br>VMware Telco Cloud Platform | VMware Aria Operations | 5.x, 4.x | Any | CVE-2025-41244, CVE-2025-41245 | 7.8, 4.9 | Important | 8.18.5 | None | None<br>VMware Telco Cloud Infrastructure | VMware Aria Operations | 3.x, 2.x | Any | CVE-2025-41244, CVE-2025-41245 | 7.8, 4.9 | Important | 8.18.5 | None | None<br>VMware Cloud Foundation VMware vSphere Foundation | VMware Tools | 13.x.x.x [2] | Windows | CVE-2025-41246 | 7.6 | Important | 13.0.5.0 | None | None<br>VMware Tools [2] | N/A | 13.x.x | Windows | CVE-2025-41246 | 7.6 | Important | 13.0.5 | None | None<br>VMware Tools [2] | N/A | 12.x.x, 11.x.x | Windows | CVE-2025-41246 | 7.6 | Important | 12.5.4 | None | None<br>VMware Tools | N/A | 12.x.x, 11.x.x | Linux | CVE-2025-41246 | N/A | N/A | Unaffected | N/A | N/A<br>VMware Tools | N/A | 12.x.x, 11.x.x | macOS | CVE-2025-41246 | N/A | N/A | Unaffected | N/A | N/A"
"12.x.x, 11.x.x, 10.3.x; 10.3.x","4","VCDSA23664","VMSA-2023-0019:VMware Tools updates address a SAML Token Signature Bypass Vulnerability","HIGH","","29 August 2023","CVE-2023-20900","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/23664","VMware Tools | 12.x.x, 11.x.x, 10.3.x | Windows | CVE-2023-20900 | 7.1 | important | 12.3.0 | None | None<br>VMware Tools | 10.3.x | Linux | CVE-2023-20900 | 7.1 | important | [1] 10.3.26 | None | None<br>[2] VMware Tools (open-vm-tools) | 12.x.x, 11.x.x, 10.3.x | Linux | CVE-2023-20900 | 7.1 | important | [3] 12.3.0 | None | None"
"12.x.y, 11.x.y and 10.x.y","5","VCDSA23647","VMSA-2022-0029:VMware Tools for Windows update addresses a denial-of-service vulnerability","LOW","","27 November 2022","CVE-2022-31693","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/23647","VMware Tools for Windows | 12.x.y, 11.x.y and 10.x.y | Windows | CVE-2022-31693 | 3.3 | low | 12.1.5 | None | None"
"5","6","VCDSA23430","VMSA-2012-0006:VMware ESXi and ESX address several security issues","HIGH","","27 March 2012","CVE-2012-1515; CVE-2011-2482; CVE-2011-3191; CVE-2011-4348; CVE-2011-4862","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/23430","ESXi | 4.1 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 410 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 4.0 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 400 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 3.5 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 5.0 | N/A | N/A | N/A | N/A | N/A | N/A | <br>VMware Tools | 5 | N/A | N/A | N/A | N/A | N/A | N/A | "
"5","7","VCDSA23421","VMSA-2011-0006:VMware vmrun utility local privilege escalation","HIGH","","27 March 2011","CVE-2011-1126","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/23421","VMware Tools | 5 | N/A | N/A | N/A | N/A | N/A | N/A | "
"11.x.y and 10.x.y","8","VCDSA23621","VMSA-2022-0007:VMware Tools for Windows update addresses an uncontrolled search path vulnerability","MEDIUM","","27 February 2022","CVE-2022-22943","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/23621","VMware Tools for Windows | 11.x.y and 10.x.y | Windows | CVE-2022-22943 | 5.6 | moderate | 12.0.0 | None | None"
"12.x.x, 11.x.x","9","VCDSA25518","VMSA-2025-0005: VMware Tools for Windows update addresses an authentication bypass vulnerability (CVE-2025-22230)","HIGH","7.8","25 March 2025","CVE-2025-22230CVE-2025-22230 CVE-2025-22230 CVE-2025-22230 CVE-2025-22230 CVE-2025-22230 CVE-2025-22230 CVE-2025-22230 CVE-2025-22230 CVE-2025-22230 CVE-2025-22230 CVE-2025-22230 CVE-2025-22230 CVE-2025-22230","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/25518","VMware Tools [2] | 12.x.x, 11.x.x | Windows | CVE-2025-22230 | 7.8 | Important | 12.5.1 [1] | None | None<br>VMware Tools | 12.x.x, 11.x.x | Linux | CVE-2025-22230 | N/A | N/A | Unaffected | None | None<br>VMware Tools | 12.x.x, 11.x.x | macOS | CVE-2025-22230 | N/A | N/A | Unaffected | None | None"
"3; 10.0; 10.0.9","10","VCDSA23509","VMSA-2017-0013:VMware vCenter Server and Tools updates resolve multiple security vulnerabilities","MEDIUM","","25 July 2017","CVE-2017-4921; CVE-2017-4922; CVE-2017-4923; CVE-2015-5191","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/23509","vCenter Server | 3 | N/A | N/A | N/A | N/A | N/A | N/A | <br>vCenter Server | 6.5 | N/A | N/A | N/A | N/A | N/A | N/A | <br>vCenter Server | 6.0 | N/A | N/A | N/A | N/A | N/A | N/A | <br>vCenter Server | 5.5 | N/A | N/A | N/A | N/A | N/A | N/A | <br>vCenter Server | 6.5 U1 | N/A | N/A | N/A | N/A | N/A | N/A | <br>VMware Tools | 3 | N/A | N/A | N/A | N/A | N/A | N/A | <br>VMware Tools | 10.0 | N/A | N/A | N/A | N/A | N/A | N/A | <br>VMware Tools | 10.0.9 | N/A | N/A | N/A | N/A | N/A | N/A | "
