"Version","No","AdvisoryID","Title","Severity","CVSS","Published","CVEs","Link","FixedInfo"
"4.4.x,...","1","VCDSA23637","VMSA-2022-0021:VMware Workspace ONE Access, Access Connector, Identity Manager, Identity Manager Connector and vRealize Automation updates address multiple vulnerabilities","CRITICAL","","31 July 2022","CVE-2022-31656; CVE-2022-31657; CVE-2022-31658; CVE-2022-31659; CVE-2022-31660; CVE-2022-31661; CVE-2022-31662; CVE-2022-31663; CVE-2022-31664; CVE-2022-31665","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/23637","Access | 21.08.0.1, 21.08.0.0 | Linux | CVE-2022-31656 | 9.8 | critical | KB89096 | KB89084 | FAQ<br>Access | 21.08.0.1, 21.08.0.0 | Linux | CVE-2022-31658 | 8.0 | important | KB89096 | None | FAQ<br>Access | 21.08.0.1, 21.08.0.0 | Linux | CVE-2022-31659 | 8.0 | important | KB89096 | None | FAQ<br>Access | 21.08.0.1, 21.08.0.0 | Linux | CVE-2022-31660, CVE-2022-31661 | 7.8 | important | KB89096 | None | FAQ<br>Access | 21.08.0.1, 21.08.0.0 | Linux | CVE-2022-31664 | 7.8 | important | KB89096 | None | FAQ<br>Access | 21.08.0.1, 21.08.0.0 | Linux | CVE-2022-31665 | 7.6 | important | KB89096 | None | FAQ<br>Access | 21.08.0.1, 21.08.0.0 | Linux | CVE-2022-31657 | 5.9 | moderate | KB89096 | None | FAQ<br>Access | 21.08.0.1, 21.08.0.0 | Linux | CVE-2022-31662 | 5.3 | moderate | KB89096 | None | FAQ<br>Access | 21.08.0.1, 21.08.0.0 | Linux | CVE-2022-31663 | 4.7 | moderate | KB89096 | None | FAQ<br>vIDM | 3.3.6, 3.3.5, 3.3.4 | Linux | CVE-2022-31656 | 9.8 | critical | KB89096 | KB89084 | FAQ<br>vIDM | 3.3.6, 3.3.5, 3.3.4 | Linux | CVE-2022-31658 | 8.0 | important | KB89096 | None | FAQ<br>vIDM | 3.3.6, 3.3.5, 3.3.4 | Linux | CVE-2022-31659 | 8.0 | important | KB89096 | None | FAQ<br>vIDM | 3.3.6, 3.3.5, 3.3.4 | Linux | CVE-2022-31660, CVE-2022-31661 | 7.8 | important | KB89096 | None | FAQ<br>vIDM | 3.3.6, 3.3.5, 3.3.4 | Linux | CVE-2022-31664 | 7.8 | important | KB89096 | None | FAQ<br>vIDM | 3.3.6, 3.3.5, 3.3.4 | Linux | CVE-2022-31665 | 7.6 | important | KB89096 | None | FAQ<br>vIDM | 3.3.6, 3.3.5, 3.3.4 | Linux | CVE-2022-31657 | 5.9 | moderate | KB89096 | None | FAQ<br>vIDM | 3.3.6, 3.3.5, 3.3.4 | Linux | CVE-2022-31662 | 5.3 | moderate | KB89096 | None | FAQ<br>vIDM | 3.3.6, 3.3.5, 3.3.4 | Linux | CVE-2022-31663 | 4.7 | moderate | KB89096 | None | FAQ<br>vIDM Connector | 3.3.6, 3.3.5, 3.3.4 | Windows | CVE-2022-31662 | 5.3 | moderate | KB89096 | None | FAQ<br>vIDM Connector | 19.03.0.1 | Windows | CVE-2022-31662 | 5.3 | moderate | KB89096 | None | FAQ<br>vRealize Automation (vIDM) [2] | 7.6 | Linux | CVE-2022-31656 | 9.8 | critical | KB89096 | KB89084 | FAQ<br>vRealize Automation (vIDM) [2] | 7.6 | Linux | CVE-2022-31658 | 8.0 | important | KB89096 | None | FAQ<br>vRealize Automation (vIDM) [2] | 7.6 | Linux | CVE-2022-31659 | 8.0 | important | KB89096 | None | FAQ<br>vRealize Automation (vIDM) [2] | 7.6 | Linux | CVE-2022-31660, CVE-2022-31661 | 7.8 | important | KB89096 | None | FAQ<br>vRealize Automation (vIDM) [2] | 7.6 | Linux | CVE-2022-31664 | 7.8 | important | KB89096 | None | FAQ<br>vRealize Automation (vIDM) [2] | 7.6 | Linux | CVE-2022-31665 | 7.6 | important | KB89096 | None | FAQ<br>vRealize Automation (vIDM) [2] | 7.6 | Linux | CVE-2022-31657 | 5.9 | moderate | KB89096 | None | FAQ<br>vRealize Automation (vIDM) [2] | 7.6 | Linux | CVE-2022-31662 | 5.3 | moderate | KB89096 | None | FAQ<br>vRealize Automation (vIDM) [2] | 7.6 | Linux | CVE-2022-31663 | 4.7 | moderate | KB89096 | None | FAQ<br>VMware Cloud Foundation (vIDM) | 4.4.x,..."
"5.x, 4.x","2","VCDSA25329","VMSA-2025-0003: VMware Aria Operations for Logs and VMware Aria Operations updates address multiple vulnerabilities (CVE-2025-22218, CVE-2025-22219, CVE-2025-22220, CVE-2025-22221 and CVE-2025-22222)","HIGH","5.2-8.5","30 January 2025","CVE-2025-22218; CVE-2025-22219; CVE-2025-22220; CVE-2025-22221; CVE-2025-22222","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/25329","VMware Aria Operations for logs | 8.x | Any | CVE-2025-22218,  CVE-2025-22219,  CVE-2025-22220,  CVE-2025-22221 | 8.5, 6.8, 4.3, 5.2 | Important | 8.18.3 | None | None<br>VMware Aria Operations | 8.x | Any | CVE-2025-22222 | 7.7 | Important | 8.18.3 | None | None<br>VMware Cloud Foundation | 5.x, 4.x | Any | CVE-2025-22218,  CVE-2025-22219,  CVE-2025-22220,  CVE-2025-22221, CVE-2025-22222 | 8.5, 6.8, 4.3, 5.2, 7.7 | Important | KB92148 | None | None"
"9.x.x.x; 5.x; 4.5.x","3","VCDSA36150","VMSA-2025-0016: VMware vCenter and NSX updates address multiple vulnerabilities (CVE-2025-41250, CVE-2025-41251, CVE-2025-41252)","HIGH","7.5-8.5","29 September 2025","CVE-2025-41250; CVE-2025-41251; CVE-2025-41252","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/36150","VMware Cloud Foundation, VMware vSphere Foundation | vCenter | 9.x.x.x | Any | CVE-2025-41250 | 8.5 | Important | 9.0.1.0 | None | None<br>VMware Cloud Foundation | vCenter | 5.x | Any | CVE-2025-41250 | 8.5 | Important | 5.2.2 | None | Async Patching Guide: KB88287<br>VMware Cloud Foundation | vCenter | 4.5.x | Any | CVE-2025-41250 | 8.5 | Important | Async patch to 7.0 U3w | None | Async Patching Guide: KB88287<br>VMware Cloud Foundation, VMware vSphere Foundation | VMware NSX | 9.x.x.x | Any | CVE-2025-41251, CVE-2025-41252 | 8.1, 7.5 | Important | 9.0.1.0 | None | None<br>VMware NSX | N/A | 4.2.x | Any | CVE-2025-41251, CVE-2025-41252 | 8.1, 7.5 | Important | 4.2.2.2, 4.2.3.1 | None | None<br>VMware NSX | N/A | 4.1.x, 4.0.x | Any | CVE-2025-41251, CVE-2025-41252 | 8.1, 7.5 | Important | 4.1.2.7 | None | None<br>NSX-T | N/A | 3.x | Any | CVE-2025-41251, CVE-2025-41252 | 8.1, 7.5 | Important | 3.2.4.3 | None | None<br>VMware Cloud Foundation | VMware NSX | 5.x | Any | CVE-2025-41251, CVE-2025-41252 | 8.1, 7.5 | Important | KB88287 | None | Async Patching Guide: KB88287<br>VMware Cloud Foundation | VMware NSX | 4.5.x | Any | CVE-2025-41251, CVE-2025-41252 | 8.1, 7.5 | Important | KB88287 | None | Async Patching Guide: KB88287<br>VMware Telco Cloud Infrastructure | VMware NSX | 3.x, 2.x | Any | CVE-2025-41251, CVE-2025-41252 | 8.1, 7.5 | Important | KB411518 | None | None<br>VMware Telco Cloud Platform | VMware NSX | 5.x, 4.x, 3.x | Any | CVE-2025-41251, CVE-2025-41252 | 8.1, 7.5 | Important | KB411518 | None | None"
"9.x.x.x; 13.x.x.x [2]; 5.x, 4.x; 13.x.x.x [2]","4","VCDSA36149","VMSA-2025-0015: VMware Aria Operations and VMware Tools updates address multiple vulnerabilities (CVE-2025-41244,CVE-2025-41245, CVE-2025-41246)","HIGH","4.9 -7.8","29 September 2025","CVE-2025-41244; CVE-2025-41245; CVE-2025-41246","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/36149","VMware Cloud Foundation VMware vSphere Foundation | VMware Cloud Foundation Operations | 9.x.x.x | Any | CVE-2025-41244 | 7.8 | Important | 9.0.1.0 | None | None<br>VMware Cloud Foundation VMware vSphere Foundation | VMware Tools | 13.x.x.x [2] | Windows, Linux | CVE-2025-41244 | 7.8 | Important | 13.0.5.0 | None | None<br>VMware Aria Operations | VMware Aria Operations | 8.x | Any | CVE-2025-41244, CVE-2025-41245 | 7.8 , 4.9 | Important | 8.18.5 | None | None<br>VMware Tools | N/A | 13.x.x | Windows, Linux | CVE-2025-41244 | 7.8 | Important | 13.0.5 | None<br>VMware Tools | N/A | 12.x.x, 11.x.x | Windows, Linux | CVE-2025-41244 | 7.8 | Important | 12.5.4 | None | None<br>VMware Cloud Foundation | VMware Aria Operations | 5.x, 4.x | Any | CVE-2025-41244, CVE-2025-41245 | 7.8, 4.9 | Important | KB92148 | None | None<br>VMware Telco Cloud Platform | VMware Aria Operations | 5.x, 4.x | Any | CVE-2025-41244, CVE-2025-41245 | 7.8, 4.9 | Important | 8.18.5 | None | None<br>VMware Telco Cloud Infrastructure | VMware Aria Operations | 3.x, 2.x | Any | CVE-2025-41244, CVE-2025-41245 | 7.8, 4.9 | Important | 8.18.5 | None | None<br>VMware Cloud Foundation VMware vSphere Foundation | VMware Tools | 13.x.x.x [2] | Windows | CVE-2025-41246 | 7.6 | Important | 13.0.5.0 | None | None<br>VMware Tools [2] | N/A | 13.x.x | Windows | CVE-2025-41246 | 7.6 | Important | 13.0.5 | None | None<br>VMware Tools [2] | N/A | 12.x.x, 11.x.x | Windows | CVE-2025-41246 | 7.6 | Important | 12.5.4 | None | None<br>VMware Tools | N/A | 12.x.x, 11.x.x | Linux | CVE-2025-41246 | N/A | N/A | Unaffected | N/A | N/A<br>VMware Tools | N/A | 12.x.x, 11.x.x | macOS | CVE-2025-41246 | N/A | N/A | Unaffected | N/A | N/A"
"9.1.x.x; 9.0.x.x; 5.x","5","VCDSA38017","VMSA-2026-0006.1: VMware ESX, vCenter, Workstation, and Fusion updates address multiple vulnerabilities (CVE-2026-59309, CVE-2026-59310, CVE-2026-47876, CVE-2026-41703, CVE-2026-41709)","CRITICAL","2.7-9.8","29 July 2026","CVE-2026-59309; CVE-2026-59310; CVE-2026-47876; CVE-2026-41703; CVE-2026-41709","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/38017","VMware Cloud Foundation, VMware vSphere Foundation | vCenter | 9.1.x.x | Any | CVE-2026-59309, CVE-2026-59310 | 9.8 | Critical | [1] 9.1.0.0300 | None | FAQ<br>VMware Cloud Foundation, VMware vSphere Foundation | vCenter | 9.0.x.x | Any | CVE-2026-59309, CVE-2026-59310 | 9.8 | Critical | 9.0.2.0100 | None | FAQ<br>VMware Cloud Foundation | vCenter | 5.x | Any | CVE-2026-59309, CVE-2026-59310 | 9.8 | Critical | Async patch to 8.0 U3k | None | Async Patching Guide: KB88287<br>VMware Cloud Foundation, VMware vSphere Foundation | ESX | 9.1.x.x | Any | CVE-2026-47876 | 9.3 | Critical | ESXi-9.1.0.0200-25557999 | None | FAQ<br>VMware Cloud Foundation, VMware vSphere Foundation | ESX | 9.0.x.x | Any | CVE-2026-47876 | 9.3 | Critical | ESXi-9.0.2.0100-25595025 | None | FAQ<br>VMware ESX | N/A | 8.0 | Any | CVE-2026-47876 | 9.3 | Critical | ESXi80U3k-25595708 | None | FAQ<br>VMware ESX | N/A | 8.0 | Any | CVE-2026-47876 | 9.3 | Critical | ESXi80U2f-25626445 | None | FAQ<br>VMware ESX | N/A | 7.0 | Any | CVE-2026-47876 | 9.3 | Critical | Contact Broadcom Support if you have extended support contract. | None | FAQ<br>VMware Cloud Foundation | ESX | 5.x | Any | CVE-2026-47876 | 9.3 | Critical | Async Patching Guide: KB88287 | None | FAQ<br>VMware Telco Cloud Platform | ESX | 5.0.x, 5.1.x | Any | CVE-2026-47876 | 9.3 | Critical | KB449886 | None | None<br>VMware Cloud Foundation, VMware vSphere Foundation | ESX | 9.1.x.x | Any | CVE-2026-41703 | 7.6 | Important | ESXi-9.1.0.0-25370933 | None | None<br>VMware Cloud Foundation, VMware vSphere Foundation | ESX | 9.0.x.x | Any | CVE-2026-41703 | 7.6 | Important | ESXi-9.0.2.0100-25595025 | None | None<br>VMware ESX | N/A | 8.0 | Any | CVE-2026-41703 | 7.6 | Important | ESXi80U3i-25205845 | None | None<br>VMware Workstation | N/A | 25H2 | Any | CVE-2026-41703 | 2.7 | Low | 26H1 | None | None<br>VMware Fusion | N/A | 25H2 | Any | CVE-2026-41703 | 2.7 | Low | 26H1 | None | None<br>VMware Cloud Foundation | ESX | 5.x | Any | CVE-2026-41703 | 7.6 | Important | 5.2.3 | None | Async Patching Guide: KB88287<br>VMware Telco Cloud Platform | ESX | 5.0.x, 5.1.x | Any | CVE-2026-41703 | 7.6 | Important | KB449886 | None | None<br>VMware Cloud Foundation, VMware vSphere Foundation | ESX | 9.1.x.x | Any | CVE-2026-41709 | 2.7 | Low | ESXi-9.1.0.0-25370933 | None | None<br>VMware Cloud Foundation, VMware vSphere Foundation | ESX | 9.0.x.x | Any | CVE-2026-41709 | 2.7 | Low | ESXi-9.0.2.0100-25595025 | None | None<br>VMware ESX | N/A | 8.0 | Any | CVE-2026-41709 | 2.7 | Low | ESXi80U3j-25429389 | None | None<br>VMware Cloud Foundation | ESX | 5.x | Any | CVE-2026-41709 | 2.7 | Low | 5.2.4 | None | Async Patching Guide: KB88287<br>VMware Telco Cloud Platform | ESX | 5.0.x, 5.1.x | Any | CVE-2026-41709 | 2.7 | Low | KB449886 | None | None"
"9.0.0.0","6","VCDSA35964","VMSA-2025-0014: VMware vCenter updates address a denial-of-service vulnerability (CVE-2025-41241)","MEDIUM","4.4","29 July 2025","CVE-2025-41241CVE-2025-41241 CVE-2025-41241 CVE-2025-41241 CVE-2025-41241 CVE-2025-41241 CVE-2025-41241 CVE-2025-41241 CVE-2025-41241 CVE-2025-41241 CVE-2025-41241 CVE-2025-41241 CVE-2025-41241 CVE-2025-41241 CVE-2025-41241 CVE-2025-41241 CVE-2025-41241 CVE-2025-41241","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/35964","VMware Cloud Foundation, VMware vSphere Foundation | vCenter | 9.0.0.0 | Any | CVE-2025-41241 | N/A | N/A | Unaffected | N/A | N/A<br>VMware Cloud Foundation | N/A | 5.x | Any | CVE-2025-41241 | 4.4 | Moderate | Async patch to 8.0 U3g | None | Async Patching Guide: KB88287<br>VMware Cloud Foundation | N/A | 4.5.x | Any | CVE-2025-41241 | 4.4 | Moderate | Async patch to 7.0 U3v | None | Async Patching Guide: KB88287"
"4.x; 3.x","7","VCDSA23629","VMSA-2022-0003:VMware Cloud Foundation contains an information disclosure vulnerability due to the logging of plaintext credentials within some log files","MEDIUM","","29 January 2022","CVE-2022-22939","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/23629","VMware Cloud Foundation | 4.x | Any | CVE-2022-22939 | 6.0 | moderate | 4.3.1.1 | KB87050 | None.<br>VMware Cloud Foundation | 3.x | Any | CVE-2022-22939 | 6.0 | moderate | 3.11 | N/A | None."
"4.x; 3.x","8","VCDSA23600","VMSA-2021-0004:VMware vRealize Operations updates address Server Side Request Forgery and Arbitrary File Write vulnerabilities","CRITICAL","","28 March 2021","CVE-2021-21975; CVE-2021-21983","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/23600","[2] vRealize Operations Manager | 8.4.0 | Any | CVE-2021-21975 | 4.3 | moderate | KB85383 | None | None<br>[1] vRealize Operations Manager | 8.3.0 | Any | CVE-2021-21975, CVE-2021-21983 | 7.2 - 8.6 | critical | KB85382 | KB83210 | FAQ<br>[1] vRealize Operations Manager | 8.2.0 | Any | CVE-2021-21975, CVE-2021-21983 | 7.2 - 8.6 | critical | KB85381 | KB83095 | FAQ<br>[1] vRealize Operations Manager | 8.1.1, 8.1.0 | Any | CVE-2021-21975, CVE-2021-21983 | 7.2 - 8.6 | critical | KB85380 | KB83094 | FAQ<br>[1] vRealize Operations Manager | 8.0.1, 8.0.0 | Any | CVE-2021-21975, CVE-2021-21983 | 7.2 - 8.6 | critical | KB85379 | KB83093 | FAQ<br>[1] vRealize Operations Manager | 7.5.0 | Any | CVE-2021-21975, CVE-2021-21983 | 7.2 - 8.6 | critical | KB85378 | KB82367 | FAQ<br>vRealize Operations Manager | 7.0.0 | Any | CVE-2021-21975, CVE-2021-21983 | 7.2 - 8.6 | critical | No patch planned | KB83287 | FAQ<br>vRealize Operations Manager | 6.7.0 | Any | CVE-2021-21975, CVE-2021-21983 | 7.2 - 8.6 | critical | No patch planned | KB83287 | FAQ<br>VMware Cloud Foundation (vROps) | 4.x | Any | CVE-2021-21975, CVE-2021-21983 | 7.2 - 8.6 | critical | KB83260 | See 'Response Matrix' workaround column above | FAQ<br>VMware Cloud Foundation (vROps) | 3.x | Any | CVE-2021-21975, CVE-2021-21983 | 7.2 - 8.6 | critical | KB83260 | See 'Response Matrix' workaround column above | FAQ<br>vRealize Suite Lifecycle Manager (vROps) | 8.x | Any | CVE-2021-21975, CVE-2021-21983 | 7.2 - 8.6 | critical | KB83260 | See 'Response Matrix' workaround column above | FAQ"
"4.x; 3.x","9","VCDSA23623","VMSA-2022-0009:VMware vCenter Server updates address an information disclosure vulnerability","MEDIUM","","27 March 2022","CVE-2022-22948","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/23623","vCenter Server | 7.0 | Any | CVE-2022-22948 | 5.5 | moderate | 7.0 U3d | None | None<br>vCenter Server | 6.7 | Virtual Appliance | CVE-2022-22948 | 5.5 | moderate | 6.7 U3p | None | None<br>vCenter Server | 6.7 | Windows | CVE-2022-22948 | N/A | N/A | Unaffected | N/A | N/A<br>vCenter Server | 6.5 | Virtual Appliance | CVE-2022-22948 | 5.5 | moderate | 6.5 U3r | None | None<br>vCenter Server | 6.5 | Windows | CVE-2022-22948 | N/A | N/A | Unaffected | N/A | N/A<br>Cloud Foundation (vCenter Server) | 4.x | Any | CVE-2022-22948 | 5.5 | moderate | 4.4.1 | None | None<br>Cloud Foundation (vCenter Server) | 3.x | Any | CVE-2022-22948 | 5.5 | moderate | 3.11 | None | None"
"5.x; 4.x","10","VCDSA25199","VMSA-2024-0022: VMware Aria Operations updates address multiple vulnerabilities(CVE-2024-38830, CVE-2024-38831, CVE-2024-38832, CVE-2024-38833, CVE-2024-38834)","HIGH","6.5-7.8","26 November 2024","CVE-2024-38830; CVE-2024-38831; CVE-2024-38832; CVE-2024-38833; CVE-2024-38834","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/25199","VMware Aria Operations | 8.x | Any | CVE-2024-38830, CVE-2024-38831, CVE-2024-38832,CVE-2024-38833, CVE-2024-38834 | 7.8 , 7.8, 7.1, 6.8, 6.5 | Important | 8.18.2 | None | None<br>VMware Cloud Foundation (VMware Aria Operations) | 5.x | Any | CVE-2024-38830, CVE-2024-38831, CVE-2024-38832,CVE-2024-38833, CVE-2024-38834 | 7.8 , 7.8, 7.1, 6.8, 6.5 | Important | 8.18.2 | None | None<br>VMware Cloud Foundation (VMware Aria Operations) | 4.x | Any | CVE-2024-38830, CVE-2024-38831, CVE-2024-38832,CVE-2024-38833, CVE-2024-38834 | 7.8 , 7.8, 7.1, 6.8, 6.5 | Important | 8.18.2 | None | None"
