"Version","No","AdvisoryID","Title","Severity","CVSS","Published","CVEs","Link","FixedInfo"
"6.0; 5.5; 5.1; 5.0","1","VCDSA23449","VMSA-2015-0003:VMware product updates address CRITICAL information disclosure issue in JRE.","CRITICAL","","31 March 2015","CVE-2014-6593","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/23449","vCenter Server | 6.0 | N/A | N/A | N/A | N/A | N/A | N/A | <br>vCenter Server | 5.5 | N/A | N/A | N/A | N/A | N/A | N/A | <br>vCenter Server | 5.1 | N/A | N/A | N/A | N/A | N/A | N/A | <br>vCenter Server | 5.0 | N/A | N/A | N/A | N/A | N/A | N/A | <br>NSX | 6.1 | N/A | N/A | N/A | N/A | N/A | N/A | <br>NSX | 614 | N/A | N/A | N/A | N/A | N/A | N/A | <br>NSX | 4 | N/A | N/A | N/A | N/A | N/A | N/A | <br>NSX | 6.1.4 | N/A | N/A | N/A | N/A | N/A | N/A | "
"9.x.x.x; 5.x; 4.5.x","2","VCDSA36150","VMSA-2025-0016: VMware vCenter and NSX updates address multiple vulnerabilities (CVE-2025-41250, CVE-2025-41251, CVE-2025-41252)","HIGH","7.5-8.5","29 September 2025","CVE-2025-41250; CVE-2025-41251; CVE-2025-41252","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/36150","VMware Cloud Foundation, VMware vSphere Foundation | vCenter | 9.x.x.x | Any | CVE-2025-41250 | 8.5 | Important | 9.0.1.0 | None | None<br>VMware Cloud Foundation | vCenter | 5.x | Any | CVE-2025-41250 | 8.5 | Important | 5.2.2 | None | Async Patching Guide: KB88287<br>VMware Cloud Foundation | vCenter | 4.5.x | Any | CVE-2025-41250 | 8.5 | Important | Async patch to 7.0 U3w | None | Async Patching Guide: KB88287<br>VMware Cloud Foundation, VMware vSphere Foundation | VMware NSX | 9.x.x.x | Any | CVE-2025-41251, CVE-2025-41252 | 8.1, 7.5 | Important | 9.0.1.0 | None | None<br>VMware NSX | N/A | 4.2.x | Any | CVE-2025-41251, CVE-2025-41252 | 8.1, 7.5 | Important | 4.2.2.2, 4.2.3.1 | None | None<br>VMware NSX | N/A | 4.1.x, 4.0.x | Any | CVE-2025-41251, CVE-2025-41252 | 8.1, 7.5 | Important | 4.1.2.7 | None | None<br>NSX-T | N/A | 3.x | Any | CVE-2025-41251, CVE-2025-41252 | 8.1, 7.5 | Important | 3.2.4.3 | None | None<br>VMware Cloud Foundation | VMware NSX | 5.x | Any | CVE-2025-41251, CVE-2025-41252 | 8.1, 7.5 | Important | KB88287 | None | Async Patching Guide: KB88287<br>VMware Cloud Foundation | VMware NSX | 4.5.x | Any | CVE-2025-41251, CVE-2025-41252 | 8.1, 7.5 | Important | KB88287 | None | Async Patching Guide: KB88287<br>VMware Telco Cloud Infrastructure | VMware NSX | 3.x, 2.x | Any | CVE-2025-41251, CVE-2025-41252 | 8.1, 7.5 | Important | KB411518 | None | None<br>VMware Telco Cloud Platform | VMware NSX | 5.x, 4.x, 3.x | Any | CVE-2025-41251, CVE-2025-41252 | 8.1, 7.5 | Important | KB411518 | None | None"
"6.0; 5.5; 5.1; 5.0; 5.0 U3; 5.1 u3; 6.0.0; 5.5 U3","3","VCDSA23482","VMSA-2015-0007:VMware vCenter and ESXi updates address CRITICAL security issues.","CRITICAL","","29 September 2015","CVE-2015-5177; CVE-2015-2342; CVE-2015-1047; CVE-2105-2342","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/23482","vCenter Server | 6.0 | N/A | N/A | N/A | N/A | N/A | N/A | <br>vCenter Server | 5.5 | N/A | N/A | N/A | N/A | N/A | N/A | <br>vCenter Server | 5.1 | N/A | N/A | N/A | N/A | N/A | N/A | <br>vCenter Server | 5.0 | N/A | N/A | N/A | N/A | N/A | N/A | <br>vCenter Server | 5.0 U3 | N/A | N/A | N/A | N/A | N/A | N/A | <br>vCenter Server | 5.1 u3 | N/A | N/A | N/A | N/A | N/A | N/A | <br>vCenter Server | 6.0.0 | N/A | N/A | N/A | N/A | N/A | N/A | <br>vCenter Server | 5.5 U3 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 6.7 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 670 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 6.5 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 650 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 6.0 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 600 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 5.5 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 550 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 5.1 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 510 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 5.0 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 500 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 5.5 U3 | N/A | N/A | N/A | N/A | N/A | N/A | "
"9.1.x.x; 9.0.x.x; 5.x","4","VCDSA38017","VMSA-2026-0006.1: VMware ESX, vCenter, Workstation, and Fusion updates address multiple vulnerabilities (CVE-2026-59309, CVE-2026-59310, CVE-2026-47876, CVE-2026-41703, CVE-2026-41709)","CRITICAL","2.7-9.8","29 July 2026","CVE-2026-59309; CVE-2026-59310; CVE-2026-47876; CVE-2026-41703; CVE-2026-41709","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/38017","VMware Cloud Foundation, VMware vSphere Foundation | vCenter | 9.1.x.x | Any | CVE-2026-59309, CVE-2026-59310 | 9.8 | Critical | [1] 9.1.0.0300 | None | FAQ<br>VMware Cloud Foundation, VMware vSphere Foundation | vCenter | 9.0.x.x | Any | CVE-2026-59309, CVE-2026-59310 | 9.8 | Critical | 9.0.2.0100 | None | FAQ<br>VMware Cloud Foundation | vCenter | 5.x | Any | CVE-2026-59309, CVE-2026-59310 | 9.8 | Critical | Async patch to 8.0 U3k | None | Async Patching Guide: KB88287<br>VMware Cloud Foundation, VMware vSphere Foundation | ESX | 9.1.x.x | Any | CVE-2026-47876 | 9.3 | Critical | ESXi-9.1.0.0200-25557999 | None | FAQ<br>VMware Cloud Foundation, VMware vSphere Foundation | ESX | 9.0.x.x | Any | CVE-2026-47876 | 9.3 | Critical | ESXi-9.0.2.0100-25595025 | None | FAQ<br>VMware ESX | N/A | 8.0 | Any | CVE-2026-47876 | 9.3 | Critical | ESXi80U3k-25595708 | None | FAQ<br>VMware ESX | N/A | 8.0 | Any | CVE-2026-47876 | 9.3 | Critical | ESXi80U2f-25626445 | None | FAQ<br>VMware ESX | N/A | 7.0 | Any | CVE-2026-47876 | 9.3 | Critical | Contact Broadcom Support if you have extended support contract. | None | FAQ<br>VMware Cloud Foundation | ESX | 5.x | Any | CVE-2026-47876 | 9.3 | Critical | Async Patching Guide: KB88287 | None | FAQ<br>VMware Telco Cloud Platform | ESX | 5.0.x, 5.1.x | Any | CVE-2026-47876 | 9.3 | Critical | KB449886 | None | None<br>VMware Cloud Foundation, VMware vSphere Foundation | ESX | 9.1.x.x | Any | CVE-2026-41703 | 7.6 | Important | ESXi-9.1.0.0-25370933 | None | None<br>VMware Cloud Foundation, VMware vSphere Foundation | ESX | 9.0.x.x | Any | CVE-2026-41703 | 7.6 | Important | ESXi-9.0.2.0100-25595025 | None | None<br>VMware ESX | N/A | 8.0 | Any | CVE-2026-41703 | 7.6 | Important | ESXi80U3i-25205845 | None | None<br>VMware Workstation | N/A | 25H2 | Any | CVE-2026-41703 | 2.7 | Low | 26H1 | None | None<br>VMware Fusion | N/A | 25H2 | Any | CVE-2026-41703 | 2.7 | Low | 26H1 | None | None<br>VMware Cloud Foundation | ESX | 5.x | Any | CVE-2026-41703 | 7.6 | Important | 5.2.3 | None | Async Patching Guide: KB88287<br>VMware Telco Cloud Platform | ESX | 5.0.x, 5.1.x | Any | CVE-2026-41703 | 7.6 | Important | KB449886 | None | None<br>VMware Cloud Foundation, VMware vSphere Foundation | ESX | 9.1.x.x | Any | CVE-2026-41709 | 2.7 | Low | ESXi-9.1.0.0-25370933 | None | None<br>VMware Cloud Foundation, VMware vSphere Foundation | ESX | 9.0.x.x | Any | CVE-2026-41709 | 2.7 | Low | ESXi-9.0.2.0100-25595025 | None | None<br>VMware ESX | N/A | 8.0 | Any | CVE-2026-41709 | 2.7 | Low | ESXi80U3j-25429389 | None | None<br>VMware Cloud Foundation | ESX | 5.x | Any | CVE-2026-41709 | 2.7 | Low | 5.2.4 | None | Async Patching Guide: KB88287<br>VMware Telco Cloud Platform | ESX | 5.0.x, 5.1.x | Any | CVE-2026-41709 | 2.7 | Low | KB449886 | None | None"
"9.0.0.0","5","VCDSA35964","VMSA-2025-0014: VMware vCenter updates address a denial-of-service vulnerability (CVE-2025-41241)","MEDIUM","4.4","29 July 2025","CVE-2025-41241CVE-2025-41241 CVE-2025-41241 CVE-2025-41241 CVE-2025-41241 CVE-2025-41241 CVE-2025-41241 CVE-2025-41241 CVE-2025-41241 CVE-2025-41241 CVE-2025-41241 CVE-2025-41241 CVE-2025-41241 CVE-2025-41241 CVE-2025-41241 CVE-2025-41241 CVE-2025-41241 CVE-2025-41241","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/35964","VMware Cloud Foundation, VMware vSphere Foundation | vCenter | 9.0.0.0 | Any | CVE-2025-41241 | N/A | N/A | Unaffected | N/A | N/A<br>VMware Cloud Foundation | N/A | 5.x | Any | CVE-2025-41241 | 4.4 | Moderate | Async patch to 8.0 U3g | None | Async Patching Guide: KB88287<br>VMware Cloud Foundation | N/A | 4.5.x | Any | CVE-2025-41241 | 4.4 | Moderate | Async patch to 7.0 U3v | None | Async Patching Guide: KB88287"
"5.1; 5.0","6","VCDSA23453","VMSA-2013-0009:VMware vSphere, ESX and ESXi updates to third party libraries","HIGH","","29 July 2013","CVE-2013-1662; CVE-2013-0169; CVE-2013-0166; CVE-2013-0338; CVE-2013-2116; CVE-2013-0268; CVE-2013-0871","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/23453","vCenter Server | 5.1 | N/A | N/A | N/A | N/A | N/A | N/A | <br>vCenter Server | 5.0 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 5.1 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 510 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 5.0 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 4.1 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 410 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 4.0 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 400 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 500 | N/A | N/A | N/A | N/A | N/A | N/A | "
"4.1; 4.0; 5.1; 5.0","7","VCDSA23442","VMSA-2013-0001:VMware vSphere security updates for the authentication service and third party libraries","MEDIUM","","29 January 2013","CVE-2013-1406; CVE-2013-1405; CVE-2011-3102; CVE-2012-2807; CVE-2012-4244; CVE-2011-1202; CVE-2011-3970; CVE-2012-2825; CVE-2012-2870; CVE-2012-2871","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/23442","vCenter Server | 4.1 | N/A | N/A | N/A | N/A | N/A | N/A | <br>vCenter Server | 4.0 | N/A | N/A | N/A | N/A | N/A | N/A | <br>vCenter Server | 5.1 | N/A | N/A | N/A | N/A | N/A | N/A | <br>vCenter Server | 5.0 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 5.0 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 500 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 4.1 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 410 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 4.0 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 400 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 3.5 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 5.1 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 2 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 350 | N/A | N/A | N/A | N/A | N/A | N/A | "
"5.5 U2; 5.1 U2; 5.0 U3","8","VCDSA23467","VMSA-2014-0010:VMware product updates address CRITICAL Bash security vulnerabilities","CRITICAL","","28 September 2014","CVE-2014-6271; CVE-2014-7169; CVE-2014-7186; CVE-2014-7187; CVE-2014-6277; CVE-2014-6278","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/23467","vCenter Server | 5.5 U2 | N/A | N/A | N/A | N/A | N/A | N/A | <br>vCenter Server | 5.1 U2 | N/A | N/A | N/A | N/A | N/A | N/A | <br>vCenter Server | 5.0 U3 | N/A | N/A | N/A | N/A | N/A | N/A | <br>NSX | 6.1 | N/A | N/A | N/A | N/A | N/A | N/A | <br>NSX | 6.0 | N/A | N/A | N/A | N/A | N/A | N/A | <br>NSX | 421 | N/A | N/A | N/A | N/A | N/A | N/A | <br>NSX | 414 | N/A | N/A | N/A | N/A | N/A | N/A | <br>NSX | 611 | N/A | N/A | N/A | N/A | N/A | N/A | <br>NSX | 607 | N/A | N/A | N/A | N/A | N/A | N/A | <br>NSX | 6.1.1 | N/A | N/A | N/A | N/A | N/A | N/A | "
"5.0; 4.1; 4.0","9","VCDSA23437","VMSA-2012-0013:VMware vSphere and vCOps updates to third party libraries","HIGH","","28 August 2012","CVE-2010-4180; CVE-2010-4252; CVE-2011-0014; CVE-2011-4108; CVE-2011-4109; CVE-2011-4576; CVE-2011-4577; CVE-2011-4619; CVE-2012-0050; CVE-2012-2110; CVE-2011-1833; CVE-2011-2484; CVE-2011-2496; CVE-2011-3188; CVE-2011-3209; CVE-2011-3363; CVE-2011-4110; CVE-2011-1020; CVE-2011-4132; CVE-2011-4324; CVE-2011-4325; CVE-2012-0207; CVE-2011-2699; CVE-2012-1583; CVE-2010-2761; CVE-2010-4410; CVE-2011-3597; CVE-2012-0841; CVE-2009-5029; CVE-2009-5064; CVE-2010-0830; CVE-2011-1089; CVE-2011-4609; CVE-2012-0864; CVE-2011-4128; CVE-2012-1569; CVE-2012-1573; CVE-2012-0060; CVE-2012-0061; CVE-2012-0815; CVE-2012-0393; CVE-2011-5057; CVE-2012-0391; CVE-2012-0392; CVE-2012-0394","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/23437","vCenter Server | 5.0 | N/A | N/A | N/A | N/A | N/A | N/A | <br>vCenter Server | 4.1 | N/A | N/A | N/A | N/A | N/A | N/A | <br>vCenter Server | 4.0 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 4.1 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 410 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 5.0 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 5.0.0 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 4.0 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 3.5 | N/A | N/A | N/A | N/A | N/A | N/A | "
"7.0; 6.7; 6.5; 4.x; 3.x","10","VCDSA23623","VMSA-2022-0009:VMware vCenter Server updates address an information disclosure vulnerability","MEDIUM","","27 March 2022","CVE-2022-22948","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/23623","vCenter Server | 7.0 | Any | CVE-2022-22948 | 5.5 | moderate | 7.0 U3d | None | None<br>vCenter Server | 6.7 | Virtual Appliance | CVE-2022-22948 | 5.5 | moderate | 6.7 U3p | None | None<br>vCenter Server | 6.7 | Windows | CVE-2022-22948 | N/A | N/A | Unaffected | N/A | N/A<br>vCenter Server | 6.5 | Virtual Appliance | CVE-2022-22948 | 5.5 | moderate | 6.5 U3r | None | None<br>vCenter Server | 6.5 | Windows | CVE-2022-22948 | N/A | N/A | Unaffected | N/A | N/A<br>Cloud Foundation (vCenter Server) | 4.x | Any | CVE-2022-22948 | 5.5 | moderate | 4.4.1 | None | None<br>Cloud Foundation (vCenter Server) | 3.x | Any | CVE-2022-22948 | 5.5 | moderate | 3.11 | None | None"
