"No","CVE","AdvisoryIDs","AdvisoryCount"
"1","CVE-2004-0813","VCDSA23353","1"
"2","CVE-2005-2090","VCDSA23355","1"
"3","CVE-2005-3055","VCDSA23352","1"
"4","CVE-2005-3273","VCDSA23352","1"
"5","CVE-2005-4268","VCDSA23411","1"
"6","CVE-2006-1056","VCDSA23352","1"
"7","CVE-2006-1174","VCDSA23353","1"
"8","CVE-2006-1342","VCDSA23352","1"
"9","CVE-2006-1343","VCDSA23352","1"
"10","CVE-2006-1721","VCDSA23372","1"
"11","CVE-2006-1864","VCDSA23352","1"
"12","CVE-2006-2071","VCDSA23352","1"
"13","CVE-2006-2937","VCDSA23368","1"
"14","CVE-2006-2940","VCDSA23368","1"
"15","CVE-2006-3619","VCDSA23353","1"
"16","CVE-2006-4146","VCDSA23353","1"
"17","CVE-2006-4339","VCDSA23368","1"
"18","CVE-2006-4343","VCDSA23368","1"
"19","CVE-2006-4600","VCDSA23353","1"
"20","CVE-2006-4814","VCDSA23358","1"
"21","CVE-2006-5752","VCDSA23387","1"
"22","CVE-2006-6304","VCDSA23378","1"
"23","CVE-2006-7195","VCDSA23355","1"
"24","CVE-2006-7228","VCDSA23370; VCDSA23356","2"
"25","CVE-2007-0061","VCDSA23353","1"
"26","CVE-2007-0062","VCDSA23353","1"
"27","CVE-2007-0063","VCDSA23353","1"
"28","CVE-2007-0450","VCDSA23355","1"
"29","CVE-2007-0494","VCDSA23353","1"
"30","CVE-2007-0956","VCDSA23352","1"
"31","CVE-2007-0957","VCDSA23352","1"
"32","CVE-2007-1003","VCDSA23352","1"
"33","CVE-2007-1216","VCDSA23352","1"
"34","CVE-2007-1351","VCDSA23352","1"
"35","CVE-2007-1352","VCDSA23352","1"
"36","CVE-2007-1660","VCDSA23370","1"
"37","CVE-2007-1667","VCDSA23352","1"
"38","CVE-2007-1716","VCDSA23353","1"
"39","CVE-2007-1856","VCDSA23353","1"
"40","CVE-2007-1863","VCDSA23387","1"
"41","CVE-2007-2052","VCDSA23392; VCDSA23356","2"
"42","CVE-2007-2442","VCDSA23353","1"
"43","CVE-2007-2443","VCDSA23353","1"
"44","CVE-2007-2446","VCDSA23353","1"
"45","CVE-2007-2447","VCDSA23353","1"
"46","CVE-2007-2798","VCDSA23353","1"
"47","CVE-2007-2953","VCDSA23399","1"
"48","CVE-2007-3004","VCDSA23355","1"
"49","CVE-2007-3108","VCDSA23360; VCDSA23354","2"
"50","CVE-2007-3304","VCDSA23387","1"
"51","CVE-2007-3514","VCDSA23359","1"
"52","CVE-2007-3847","VCDSA23387","1"
"53","CVE-2007-4059","VCDSA23353","1"
"54","CVE-2007-4155","VCDSA23353","1"
"55","CVE-2007-4308","VCDSA23356","1"
"56","CVE-2007-4476","VCDSA23411","1"
"57","CVE-2007-4496","VCDSA23353","1"
"58","CVE-2007-4497","VCDSA23353","1"
"59","CVE-2007-4567","VCDSA23378","1"
"60","CVE-2007-4572","VCDSA23354","1"
"61","CVE-2007-4772","VCDSA23372","1"
"62","CVE-2007-4965","VCDSA23392; VCDSA23356","2"
"63","CVE-2007-5000","VCDSA23387","1"
"64","CVE-2007-5001","VCDSA23358","1"
"65","CVE-2007-5116","VCDSA23354","1"
"66","CVE-2007-5135","VCDSA23360; VCDSA23354","2"
"67","CVE-2007-5191","VCDSA23354","1"
"68","CVE-2007-5232","VCDSA23357","1"
"69","CVE-2007-5236","VCDSA23357","1"
"70","CVE-2007-5237","VCDSA23357","1"
"71","CVE-2007-5238","VCDSA23357","1"
"72","CVE-2007-5239","VCDSA23357","1"
"73","CVE-2007-5240","VCDSA23357","1"
"74","CVE-2007-5269","VCDSA23361; VCDSA23368","2"
"75","CVE-2007-5274","VCDSA23357","1"
"76","CVE-2007-5333","VCDSA23392; VCDSA23357","2"
"77","CVE-2007-5342","VCDSA23392; VCDSA23357","2"
"78","CVE-2007-5360","VCDSA23354","1"
"79","CVE-2007-5378","VCDSA23372","1"
"80","CVE-2007-5398","VCDSA23354","1"
"81","CVE-2007-5438","VCDSA23361","1"
"82","CVE-2007-5461","VCDSA23392; VCDSA23357","2"
"83","CVE-2007-5497","VCDSA23367","1"
"84","CVE-2007-5503","VCDSA23361","1"
"85","CVE-2007-5618","VCDSA23368","1"
"86","CVE-2007-5671","VCDSA23372","1"
"87","CVE-2007-5689","VCDSA23357","1"
"88","CVE-2007-5846","VCDSA23370","1"
"89","CVE-2007-5966","VCDSA23392","1"
"90","CVE-2007-6015","VCDSA23356","1"
"91","CVE-2007-6063","VCDSA23390","1"
"92","CVE-2007-6151","VCDSA23358","1"
"93","CVE-2007-6206","VCDSA23358","1"
"94","CVE-2007-6284","VCDSA23369","1"
"95","CVE-2007-6286","VCDSA23392; VCDSA23357","2"
"96","CVE-2007-6388","VCDSA23387","1"
"97","CVE-2008-0002","VCDSA23392","1"
"98","CVE-2008-0003","VCDSA23370","1"
